Burgos;ESP;77;El Plantío;Sergio Francisco;ESP;FFFFFF;000000;12000
Ander Cantero;G;ESP;N;31;E;S;Ref;Con;0
Alberto Dadie;L;ESP;N;24;D;S;Pas;Agi;0
Brais Martínez;L;ESP;N;24;E;N;Cru;Res;0
Ignasi Vilarrasa;L;ESP;N;26;E;N;Pas;Agi;0
Álex Lizancos;L;ESP;N;22;D;S;Des;Vel;0
Grego Sierra;Z;ESP;N;33;E;S;Des;Con;0
Oier Luengo;Z;ESP;N;28;D;N;Mar;For;0
David González;M;ESP;N;24;E;S;Fin;Cri;0
José Gragera;M;ESP;N;25;D;S;Pas;Res;0
Kévin Appin;M;MTQ;N;28;D;S;Dri;Agi;0
Marcelo Expósito;M;ESP;N;23;D;N;Pas;Vis;0
Mario Cantero;M;ESP;N;24;D;N;Pas;Agi;0
Pablo Galdames;M;CHL;N;29;D;N;Pas;Vis;0
Santiago Lencina;M;ARG;N;20;E;N;Arm;Cri;0
Saúl del Cerro;M;ESP;N;22;E;N;Pas;Vis;0
Sergio González;M;ESP;N;29;A;S;Arm;Vis;0
Curro Sánchez;P;ESP;N;30;E;S;Arm;Agi;0
Fermín García;P;ESP;N;22;D;N;Arm;Cri;0
Javi Llabrés;P;ESP;N;23;A;N;Dri;Agi;0
Víctor Mollejo;P;ESP;N;25;E;S;Fin;Res;0
Álex Forés;A;ESP;N;24;D;S;Fin;Vel;0
