Atlético de Madrid;ESP;91;Riyadh Air Metropolitano;Diego Simeone;ARG;C71400;FFFFFF;70500
Jan Oblak;G;SVN;S;33;D;S;Ref;Fle;0
Juan Musso;G;ARG;N;32;D;N;Col;Imp;0
Alejandro Grimaldo;L;ESP;S;30;E;S;Pas;Vel;0
Marcos Llorente;L;ESP;N;31;D;S;Des;Agi;0
Cristian Romero;Z;ARG;N;28;D;N;Des;Imp;0
Dávid Hancko;Z;SVK;N;28;E;S;Pos;Imp;0
José Giménez;Z;URY;N;31;D;S;Pos;For;3
Marc Pubill;Z;ESP;N;23;D;N;Ant;Imp;0
Robin Le Normand;Z;ESP;N;29;D;S;Pos;Con;0
Johnny Cardoso;V;USA;N;24;D;N;Ant;Con;0
Morten Hjulmand;V;DNK;S;27;D;N;Pas;For;0
Pablo Barrios;V;ESP;N;23;D;S;Des;Vis;0
Kang-in Lee;M;KOR;N;25;E;N;Dri;Agi;0
Koke;M;ESP;S;34;D;S;Arm;Vis;0
Obed Vargas;M;MEX;N;20;D;N;Dri;Agi;0
Rodrigo Mendoza;M;ESP;N;21;D;N;Dri;Cri;0
Thomas Lemar;M;FRA;N;30;E;N;Pas;Agi;0
Ademola Lookman;P;NGA;N;28;D;N;Arm;Agi;0
Carlos Martín;P;ESP;N;24;D;N;Fin;Res;0
Giuliano Simeone;P;ARG;N;23;D;S;Pas;Vel;0
Álex Baena;P;ESP;N;24;D;N;Arm;Cri;0
Alexander Sørloth;A;NOR;N;30;E;S;Fin;Imp;0
Jonathan David;A;CAN;N;26;A;N;Fin;Vel;0
Julián Alvarez;A;ARG;S;26;D;S;Fin;Fri;2
