Manthiqueira;BRA;10;Ninho da Garça;Dado Oliveira;BRA;E7762E;000000;15500
Henrique Sales;G;BRA;N;21;D;N;Col;For;0
Vinicius;G;BRA;N;21;D;S;Ref;Con;0
Araújo;L;BRA;N;23;D;S;Mar;For;0
Bruno Santos;L;BRA;N;20;A;S;Pas;Agi;0
João Favalessa;L;BRA;N;20;A;N;Des;Ace;0
Jackson;Z;BRA;N;22;D;N;Des;Imp;0
Marcus;Z;BRA;N;21;D;N;Ant;For;0
Matheus Loiola;Z;BRA;N;21;D;S;Pos;For;0
Tarcísio;Z;BRA;N;22;D;S;Mar;Con;0
Dolly;V;BRA;N;21;A;S;Des;Con;0
Jonathan;V;BRA;N;20;D;N;Ant;Agi;0
Pedrinho;V;BRA;N;20;D;N;Mar;Agi;0
Tom Jesus;V;BRA;N;26;D;S;Mar;For;0
Danilo Medeiros;M;BRA;N;21;E;S;Pas;Vis;0
Davizinho;M;BRA;N;22;D;N;Chu;Res;0
Félix;M;BRA;N;22;E;N;Pas;Vis;0
Isaque;M;BRA;N;24;E;N;Pas;Res;0
Klebinho;M;BRA;N;23;D;N;Fin;Agi;0
Luan Felipe;M;BRA;N;21;E;S;Pas;Agi;0
Rindou Akiyama;M;JPN;N;21;A;N;Pas;Agi;0
Fabrício;P;BRA;N;23;D;S;Cru;Ace;0
Khevin;P;BRA;N;22;E;S;Dri;Agi;0
Isaac;A;BRA;N;21;D;S;Fin;For;0
Kaique Jeci;A;BRA;N;20;E;N;Chu;Vel;0
Luiz Antonio;A;BRA;N;26;E;N;Pas;For;0
Marcos Vinícius;A;BRA;N;19;D;N;Fin;Vel;0
