Sevilla;ESP;84;Ramón Sánchez-Pizjuán;Luis García;ESP;FF0000;FFFFFF;43500
Fran González;G;ESP;N;21;D;N;Ref;Fle;0
Odysseas Vlachodimos;G;GRC;N;32;D;S;Ref;Con;0
Gabriel Suazo;L;CHL;N;28;E;S;Pos;Res;0
José Ángel Carmona;L;ESP;N;24;D;S;Cru;Res;0
Juan Iglesias;L;ESP;N;28;D;N;Des;Res;0
Julio Díaz;L;ESP;N;21;E;S;Pas;Agi;0
Andrés Castrín;Z;ESP;N;23;D;N;Des;Con;0
Arouna Sangante;Z;SEN;N;24;D;N;Des;Vel;0
Fábio Cardoso;Z;PRT;N;32;D;S;Pos;Con;0
Kike Salas;Z;ESP;N;24;E;S;Cab;Imp;0
Marcão;Z;BRA;N;30;E;S;Des;For;0
Lucien Agoumé;V;FRA;N;24;D;S;Des;For;0
Giorgi Kochorashvili;M;GEO;N;27;D;N;Pas;Cri;0
Jon Guridi;M;ESP;N;31;E;S;Pas;Res;0
Manu Bueno;M;ESP;N;21;E;N;Pas;Agi;0
Patrik Mercado;M;ECU;N;22;D;N;Dri;Cri;0
Alfon González;P;ESP;N;27;D;N;Fin;Agi;0
Chidera Ejuke;P;NGA;N;28;D;S;Dri;Agi;0
Félix Correia;P;PRT;N;25;D;N;Fin;Ace;0
Rubén Vargas;P;CHE;N;27;D;N;Arm;Cri;0
Isaac Romero;A;ESP;N;26;E;S;Fin;Res;0
Lucas Stassin;A;BEL;N;21;D;N;Cab;Res;0
Peque Fernández;A;ESP;N;23;D;N;Dri;Res;0
Robbie Ure;A;SCT;N;22;D;N;Fin;For;0
