Saarbrücken;DEU;65;Ludwigsparkstadion;Argirios Giannikis;DEU;004F9E;FFE100;16000
Benjamin Lade;G;DEU;N;20;D;N;Ref;Con;0
Kevin Broll;G;DEU;N;31;D;N;Col;Imp;0
Matteo Bignetti;G;AUT;N;22;D;S;Sgo;Fle;0
Calogero Rizzuto;L;DEU;N;34;D;N;Mar;Agi;0
Niko Bretschneider;L;DEU;N;27;E;S;Cru;Res;0
Nils Krämer;L;DEU;N;18;E;N;Pas;Vel;0
Philip Fahrner;L;DEU;N;23;D;S;Pos;For;0
Mladen Cvjetinovic;Z;BIH;N;22;D;S;Des;Vel;0
Nikola Aracic;Z;DEU;N;25;D;N;Ant;Con;0
Siemen Voet;Z;BEL;N;26;E;S;Cab;For;0
Patrick Sontheimer;V;DEU;N;28;D;S;Chu;For;0
Abdoulaye Kamara;M;GIN;N;21;D;N;Dri;Res;0
Anton Bäuerle;M;DEU;N;21;E;N;Dri;Agi;0
Christian Kühlwetter;M;DEU;N;30;A;S;Fin;Fri;0
Daniel Gleiber;M;DEU;N;21;E;S;Fin;Agi;0
Gökdeniz Gürpüz;M;TUR;N;20;D;N;Dri;Agi;0
Kaan Caliskaner;M;DEU;N;26;A;N;Fin;Cri;0
Sebastian Vasiliadis;M;GRC;N;28;D;N;Pas;Res;0
Zac Shuaib;M;ENG;N;19;D;N;Arm;Vis;0
Abdenego Nankishi;P;DEU;N;24;E;S;Dri;Vel;0
Florian Pick;P;DEU;N;30;D;S;Cru;Ace;0
Kelsey Owusu;P;DEU;N;22;A;N;Fin;Agi;0
Maurice Multhaup;P;DEU;N;29;D;N;Arm;Cri;0
Seung-joon Lee;P;KOR;N;22;D;N;Dri;Ace;0
Alexander Staff;A;DEU;N;18;D;S;Dri;Vel;0
Dominic Baumann;A;DEU;N;31;D;N;Fin;Fri;0
Kai Brünker;A;DEU;N;32;D;N;Cab;For;0
Patrick Schmidt;A;DEU;N;32;D;N;Chu;For;0
