Padova;ITA;70;Euganeo;Antonio Nicola Calabro;ITA;FF0000;FFFFFF;11500
Alessandro Sorrentino;G;ITA;N;24;D;S;Ref;Fle;0
Louis Mouquet;G;PRT;N;22;D;N;Col;Con;0
Simone Scaglia;G;ITA;N;22;D;N;Ref;Fle;0
Antonio Barreca;L;ITA;N;31;E;N;Cru;Vel;0
Lorenzo Carissoni;L;ITA;N;29;D;S;Pas;Res;0
Matteo Cocchi;L;ITA;N;19;E;N;Pas;Agi;0
Alessandro Dellavalle;Z;ITA;N;22;D;S;Mar;Con;0
Carlo Faedo;Z;ITA;N;27;D;N;Ant;Con;0
Christian Pastina;Z;ITA;N;25;E;S;Pos;Con;0
Enrico Silletti;Z;ITA;N;28;D;N;Mar;For;0
Filippo Sgarbi;Z;ITA;N;28;D;S;Cab;Imp;0
Matteo Lovato;Z;ITA;N;26;D;N;Ant;For;0
Marco Pompetti;V;ITA;N;26;E;S;Chu;Vis;0
Alessandro Capelli;M;ITA;N;29;D;N;Arm;Res;0
Emanuele Zuelli;M;ITA;N;24;A;S;Pas;Cri;0
Giovanni Giunti;M;ITA;N;21;D;N;Pas;Agi;0
Jacopo Bacci;M;ITA;N;21;D;N;Arm;Cri;0
Kevin Varas;M;ECU;N;33;D;N;Pas;Vis;0
Nicolas Galazzi;M;ITA;N;25;E;N;Dri;Agi;0
Pietro Fusi;M;ITA;N;28;D;S;Pas;Res;0
Cristian Buonaiuto;P;ITA;N;33;D;N;Arm;Cri;0
Francesco Di Mariano;P;ITA;N;30;D;N;Arm;Res;0
Luca Zanimacchia;P;ITA;N;28;D;S;Fin;Agi;0
Papu Gómez;P;ARG;N;38;D;N;Pas;Cri;0
Alessandro Seghetti;A;ITA;N;22;D;N;Fin;Res;0
Gabriele Artistico;A;ITA;N;24;D;N;Fin;For;0
Gianluca Caprari;A;ITA;N;33;D;S;Pas;Fri;0
Kevin Lasagna;A;ITA;N;34;E;S;Fin;For;0
Luca Moro;A;ITA;N;25;D;N;Fin;For;0
Mattia Bortolussi;A;ITA;N;30;D;N;Fin;For;0
