Goiatuba;BRA;50;Divinão;Glauber Ramos;BRA;FFFFFF;000785;6000
Marcos Daniel;G;BRA;N;28;D;N;Ref;Con;0
Omar;G;BRA;N;36;D;S;Col;Imp;0
Fabio Sá;L;BRA;N;31;D;N;Pos;For;0
Felipe Alves;L;BRA;N;25;E;N;Des;Vel;0
Frank;L;BRA;N;25;E;S;Cru;Agi;0
Rafael Castro;L;BRA;N;21;E;N;Mar;For;0
Renan Silva;L;BRA;N;22;D;S;Mar;Ace;0
Erik Henrique;Z;BRA;N;28;D;N;Ant;For;0
Euller;Z;BRA;N;31;D;S;Des;For;0
Lucas Balardin;Z;BRA;N;31;D;N;Mar;Imp;0
Renato Vischi;Z;BRA;N;28;E;S;Pos;Con;0
Roger Henrique;Z;BRA;N;26;A;N;Des;Vel;0
Victor Hugo;Z;BRA;N;17;D;N;Pos;Vel;0
Fagner;V;BRA;N;37;D;N;Ant;Con;0
Matheus Obina;V;BRA;N;23;D;S;Des;Agi;0
Thalles;V;BRA;N;28;E;S;Des;For;0
Vinícius Tsumita;V;BRA;N;28;E;S;Pas;Con;0
Alef Leite;M;BRA;N;32;D;N;Pas;Agi;0
Daniel Costa;M;BRA;N;38;D;N;Arm;Vis;0
Daniel de Pauli;M;BRA;N;26;E;S;Pas;Agi;0
Jaqueta;M;BRA;N;18;E;N;Dri;Cri;0
Gabriel Silva;P;BRA;N;22;D;N;Dri;Ace;0
Higor;P;BRA;N;21;E;N;Cru;Ace;0
Jean Silva;P;BRA;N;37;D;S;Dri;Ace;0
Julio Vitor;P;BRA;N;25;D;N;Dri;Vel;0
Alex Henrique;A;BRA;N;41;D;S;Fin;Fri;0
Bruno Nunes;A;BRA;N;36;D;N;Cab;For;0
Erick Monteiro;A;BRA;N;22;D;N;Dri;Vel;0
Gui Sales;A;BRA;N;25;D;N;Pas;Vel;0
Vini Hora;A;BRA;N;21;D;N;Fin;For;0
