Cruz Azul;MEX;84;Estadio Azteca;Joel Huiqui;MEX;062252;FFFFFF;87500
Andrés Gudiño;G;MEX;N;29;D;N;Sgo;Con;0
Emmanuel Ochoa;G;MEX;N;21;E;N;Col;For;0
Kevin Mier;G;COL;N;26;D;S;Rbo;Imp;0
Fernando Sámano;L;MEX;N;23;D;N;Pas;For;0
Jorge Rodarte;L;MEX;N;22;D;N;Cru;Res;0
Omar Campos;L;MEX;N;24;E;S;Mar;Agi;0
Alán Montes;Z;MEX;N;25;D;N;Ant;Res;0
Cristian Jiménez;Z;MEX;N;24;D;N;Pos;Imp;0
Gonzalo Piovi;Z;ARG;N;31;E;S;Mar;Con;0
Jesús Orozco Chiquete;Z;MEX;N;24;E;S;Cab;Vel;0
Raymundo Rubio;Z;MEX;N;25;D;N;Des;Res;0
Willer Ditta;Z;COL;N;28;D;S;Mar;Con;0
Amaury García;V;MEX;N;24;D;N;Chu;Vis;0
Érik Lira;V;MEX;N;26;D;S;Mar;For;4
Agustín Palavecino;M;ARG;N;29;D;S;Dri;Res;0
Andrés Montaño;M;MEX;N;24;E;N;Fin;Cri;0
Carlos Rodríguez;M;MEX;S;29;D;S;Pas;Vis;5
Jeremy Márquez;M;MEX;N;26;D;S;Chu;Res;0
José Paradela;M;ARG;S;27;E;S;Pas;Agi;0
Amaury Morales;P;MEX;N;20;D;N;Cru;Ace;0
Carlos Rotondi;P;ARG;N;29;E;N;Dri;Res;0
Luka Romero;P;ARG;N;21;E;N;Fin;Cri;0
Bryan Gamboa;A;MEX;N;24;D;N;Cab;Imp;0
Christian Ebere;A;NGA;N;28;D;N;Pas;Fri;0
Gabriel Fernández;A;URY;S;32;D;N;Fin;Imp;6
Juan Calero;A;COL;N;27;D;N;Chu;Res;0
Mateo Levy;A;MEX;N;19;D;N;Pas;Vel;0
Nicolás Ibáñez;A;ARG;N;31;D;S;Chu;For;0
