Middlesbrough;ENG;81;Riverside Stadium;Kim Hellberg;SWE;FF0000;FFFFFF;34500
Jon McLaughlin;G;SCT;N;38;D;N;Col;Con;0
Radek Vítek;G;CZE;N;22;D;S;Ref;Imp;0
Sol Brynn;G;ENG;N;25;D;N;Ref;Con;0
Alex Bangura;L;SLE;N;27;E;N;Des;Vel;0
Callum Brittain;L;ENG;N;28;D;S;Cru;Vel;0
Luke Ayling;L;ENG;N;35;D;S;Pas;Res;0
Neto Borges;L;BRA;N;29;E;S;Cru;Vel;0
Sam Byram;L;ENG;N;32;D;N;Pos;Agi;0
Adilson Malanda;Z;FRA;N;24;D;S;Pos;Con;0
Alfie Jones;Z;CAN;N;28;D;N;Cab;Imp;0
Ashley Phillips;Z;ENG;N;21;D;N;Des;Vel;0
George Edmundson;Z;ENG;N;29;D;N;Des;For;0
Aidan Morris;M;USA;N;24;D;N;Pas;Vis;0
Law McCabe;M;ENG;N;20;D;N;Pas;Vis;0
Leo Castledine;M;ENG;N;21;D;S;Fin;Res;0
Myles Peart-Harris;M;JAM;N;23;D;N;Dri;Res;0
Riley McGree;M;AUS;N;27;E;N;Fin;Res;0
Rokas Pukstas;M;USA;N;22;D;N;Fin;Cri;0
Sebastian Berhalter;M;USA;N;25;D;S;Pas;Fri;0
Jeremy Sarmiento;P;ECU;N;24;D;S;Dri;Cri;0
Max Arfsten;P;USA;N;25;E;S;Cru;Res;0
Micah Hamilton;P;ENG;N;22;D;N;Dri;Agi;0
Morgan Whittaker;P;ENG;N;25;E;S;Fin;Cri;0
David Strelec;A;SVK;N;25;E;N;Fin;Fri;0
Kyle Joseph;A;SCT;N;24;D;N;Cab;Imp;0
Tommy Conway;A;SCT;N;24;D;N;Fin;For;0
Will Lankshear;A;ENG;N;21;D;S;Fin;Imp;0
