Blackburn;ENG;76;Ewood Park;Tony Mowbray;ENG;0045F5;FFFFFF;31000
Aynsley Pears;G;ENG;N;28;D;N;Ref;Con;0
Balázs Tóth;G;HUN;N;28;D;S;Ref;Fle;0
Harry Pickering;L;ENG;N;27;E;N;Pas;Ace;0
Lewis Miller;L;AUS;N;25;D;S;Des;For;0
Ryan Alebiosu;L;NGA;N;24;D;S;Cru;Vel;0
Yuri Ribeiro;L;PRT;N;29;E;N;Mar;Agi;0
Hayden Carter;Z;ENG;N;26;D;N;Des;For;0
Scott Wharton;Z;ENG;N;28;E;N;Ant;Imp;0
Sean McLoughlin;Z;IRL;N;29;E;S;Pos;Con;0
Tom Atcheson;Z;NIR;N;19;D;N;Pos;Con;0
Jake Garrett;V;ENG;N;23;E;S;Des;Res;0
Adam Forshaw;M;ENG;N;34;D;N;Pas;Vis;0
Axel Henriksson;M;SWE;N;24;D;N;Fin;Res;0
Kristi Montgomery;M;SCT;N;22;D;N;Pas;Agi;0
Moussa Baradji;M;FRA;N;25;D;S;Pas;Res;0
Ryoya Morishita;M;JPN;N;29;D;S;Dri;Agi;0
Sam Morsy;M;EGY;N;34;D;N;Pas;Res;0
Todd Cantwell;M;ENG;N;28;D;S;Arm;Vis;0
Dion De Neve;P;BEL;N;25;E;S;Cru;Vel;0
Jayden Fevrier;P;ENG;N;22;E;N;Pas;Ace;0
Mathias Jørgensen;P;DNK;N;25;D;N;Fin;Vel;0
Oladapo Afolayan;P;ENG;N;28;D;N;Dri;Agi;0
Andri Gudjohnsen;A;ISL;N;24;D;S;Fin;For;0
Augustus Kargbo;A;SLE;N;26;D;N;Dri;Vel;0
Yuki Ohashi;A;JPN;N;29;D;S;Fin;Fri;0
