Paris;FRA;84;Stade Jean Bouin;Liam Rosenior;ENG;030A2F;FFFFFF;20000
Kevin Trapp;G;DEU;N;36;D;S;Ref;Fri;0
Obed Nkambadio;G;FRA;N;23;D;N;Sgo;Con;0
Emmanuel Mbemba;L;FRA;N;18;E;N;Pos;Ace;0
Hamari Traoré;L;MLI;N;34;D;N;Cru;Vel;0
Nhoa Sangui;L;FRA;N;20;E;S;Cru;Ace;0
Thibault De Smet;L;BEL;N;28;E;S;Des;For;0
Diego Coppola;Z;ITA;N;22;D;N;Cab;Res;0
Moustapha Mbow;Z;SEN;N;26;D;S;Pos;For;0
Otávio;Z;BRA;N;24;E;S;Cab;Imp;0
Samir Chergui;Z;DZA;N;27;D;N;Des;Vel;0
Yoan Koré;Z;FRA;N;21;D;N;Des;Res;0
Adama Camara;V;FRA;N;29;D;S;Mar;For;0
Maxime Lopez;V;FRA;N;28;D;S;Pas;Vis;0
Pierre Lees-Melou;V;FRA;N;33;D;S;Des;Res;0
Patrick Zabi;M;CIV;N;19;D;N;Fin;Cri;0
Rudy Matondo;M;FRA;N;18;D;N;Arm;Cri;0
Vincent Marchetti;M;FRA;N;29;E;N;Dri;Fri;0
Ilan Kebbal;P;DZA;N;28;E;S;Pas;Ace;0
Jonathan Ikoné;P;FRA;N;28;E;S;Fin;Res;0
Luca Koleosho;P;ITA;N;21;D;N;Dri;Res;0
Moses Simon;P;NGA;N;31;D;S;Cru;Vel;0
Pablo Pagis;P;FRA;N;23;A;N;Fin;Agi;0
Krasso;A;CIV;N;29;E;N;Cab;Res;0
Lassine Sinayoko;A;MLI;N;26;D;N;Chu;Res;0
Omar Sissoko;A;FRA;N;19;D;N;Chu;Imp;0
