Eintracht Frankfurt;DEU;85;Deutsche Bank Park;Adi Hütter;AUT;FF0000;FFFFFF;59500
Amil Siljevic;G;BIH;N;19;D;N;Sgo;Imp;0
Jens Grahl;G;DEU;N;37;D;S;Col;Fle;0
Kauã Santos;G;BRA;N;23;D;N;Ref;Fle;0
Noah Atubolu;G;DEU;N;24;D;N;Sgo;Fle;0
Elias Baum;L;DEU;N;20;D;N;Cru;Res;0
Keita Kosugi;L;JPN;N;20;E;N;Pas;Res;0
Timothy Chandler;L;USA;N;36;D;S;Mar;Ace;0
Lilian Brassier;Z;FRA;N;26;E;N;Pos;Res;0
Nnamdi Collins;Z;DEU;N;22;D;S;Cab;Imp;0
Otávio;Z;BRA;N;20;E;N;Pos;Imp;0
Robin Koch;Z;DEU;N;30;D;S;Pos;Res;0
Noel Aseko;V;DEU;N;20;D;N;Chu;Con;0
Raphael Onyedika;V;NGA;N;25;D;S;Des;Con;0
Can Uzun;M;TUR;N;20;D;N;Chu;Vis;0
Farès Chaïbi;M;DZA;N;23;D;S;Arm;Agi;0
Hugo Larsson;M;SWE;N;22;D;S;Pas;Cri;2
Love Arrhov;M;SWE;N;18;D;N;Pas;Agi;0
Mario Götze;M;DEU;N;34;D;S;Pas;Vis;0
Oscar Højlund;M;DNK;N;21;D;N;Pas;Res;0
Amaimouni;P;MAR;N;21;E;N;Fin;Vel;0
Ansgar Knauff;P;DEU;N;24;D;S;Dri;Vel;0
Bahoya;P;FRA;N;21;D;N;Dri;Vel;0
Malik Pimpong;P;DNK;N;18;D;N;Fin;Vel;0
Ritsu Doan;P;JPN;N;28;E;S;Dri;Vel;0
Jessic Ngankam;A;DEU;N;26;D;N;Fin;For;0
Jonathan Burkardt;A;DEU;N;26;D;S;Cab;Imp;6
Younes Ebnoutalib;A;DEU;N;22;D;N;Fin;Fri;0
