Amiens;FRA;61;Stade de la Licorne;Alain Pochat;FRA;000000;FFFFFF;12000
Calvin Obin;G;FRA;N;20;D;N;Rbo;Fle;0
Victor Delins;G;FRA;N;26;D;S;Ref;Con;0
Yannick Pandor;G;COM;N;25;E;N;Ref;Fri;0
Amine Chabane;L;MAR;N;20;D;S;Cru;For;0
Anthony Ribelin;L;FRA;N;30;D;S;Cru;Ace;0
Antoine Nuss;L;FRA;N;22;D;N;Des;Vel;0
Dan Sinaté;L;MLI;N;20;E;N;Mar;Vel;0
Lucas Llort;L;FRA;N;27;E;N;Cru;Ace;0
Nathan Talbot;L;FRA;N;18;D;N;Cru;Res;0
Adrien Julloux;Z;FRA;N;29;D;S;Cab;For;0
Enzo Couto;Z;FRA;N;23;E;N;Mar;For;0
Enzo Genton;Z;FRA;N;20;D;N;Pos;Con;0
Keny Mbala;Z;FRA;N;22;D;N;Cab;Imp;0
Mamadou Camara;Z;FRA;N;18;D;N;Ant;Vel;0
Gatien Foll;V;FRA;N;23;D;N;Pas;Con;0
Rémy Boissier;V;FRA;N;32;D;S;Pas;Vis;0
Thomas Monconduit;V;FRA;N;35;D;S;Des;Vis;0
Alexis Giacomini;M;FRA;N;28;D;N;Pas;Res;0
Cazim Suljic;M;BIH;N;29;D;S;Dri;Agi;0
Côme Fromager;M;FRA;N;23;E;N;Chu;Vis;0
Enzo Somon;M;FRA;N;18;E;N;Arm;Cri;0
Messy Manitu;M;COD;N;20;E;S;Pas;Res;0
Nolan Hérissé;M;FRA;N;21;E;N;Pas;Agi;0
Zourab Sopromadze;M;GEO;N;24;D;N;Chu;Res;0
Ely Julien;P;FRA;N;23;D;S;Pas;Res;0
Alvin Doucet;A;FRA;N;23;E;N;Fin;Vel;0
Christ Letono;A;CMR;N;22;D;N;Fin;For;0
Marvin Adélaïde;A;FRA;N;29;D;S;Cab;Imp;0
Mathis Colin;A;FRA;N;24;D;N;Fin;Fri;0
Yanis Rafii;A;FRA;N;21;D;S;Pas;For;0
