River Plate;ARG;83;Mâs Monumental;Leonardo Ponzio;ARG;FFFFFF;FF0000;85000
Ezequiel Centurión;G;ARG;N;29;D;N;Ref;Con;0
Santiago Beltrán;G;ARG;N;21;E;S;Ref;Fle;0
Fabricio Bustos;L;ARG;N;30;D;N;Pas;Agi;0
Francisco Ortega;L;ARG;N;27;E;S;Des;Vel;0
Giovanni González;L;URY;N;31;D;N;Cru;Res;0
Gonzalo Montiel;L;ARG;S;29;D;S;Pas;Res;0
Marcos Acuña;L;ARG;N;34;E;S;Cru;Agi;0
Matías Viña;L;URY;N;28;E;S;Des;Res;0
Juan Carlos Portillo;Z;ARG;N;26;D;N;Des;For;0
Lautaro Rivero;Z;ARG;N;22;E;S;Ant;For;0
Martínez Quarta;Z;ARG;N;30;D;S;Cab;Imp;0
Nicolás Otamendi;Z;ARG;S;38;D;N;Des;For;0
Tobías Ramírez;Z;ARG;N;19;D;N;Des;Vel;0
Ulises Giménez;Z;ARG;N;20;D;N;Des;Con;0
Aníbal Moreno;V;ARG;S;27;D;S;Ant;Con;0
Fausto Vera;V;ARG;N;26;D;S;Mar;Con;0
Lucas Silva;V;ARG;N;19;D;N;Pas;Agi;0
Giuliano Galoppo;M;ARG;N;27;D;N;Fin;Agi;0
Juan Cruz Meza;M;ARG;N;18;D;N;Pas;Vis;0
Kendry Páez;M;ECU;N;19;E;N;Dri;Cri;0
Lautaro Pereyra;M;ARG;N;18;D;N;Pas;Vis;0
Mauro Arambarri;M;URY;N;30;D;N;Chu;Res;0
Tobías Andrada;M;ARG;N;19;D;N;Chu;Cri;0
Tomás Galván;M;ARG;N;26;D;S;Pas;Vis;0
Thiago Almada;P;ARG;N;25;D;N;Pas;Cri;0
Agustín Ruberto;A;ARG;N;20;D;N;Fin;Imp;0
Lucas Beltrán;A;ARG;N;25;D;N;Fin;Res;0
Rafael Borré;A;COL;S;30;D;N;Fin;For;0
Sebastián Driussi;A;ARG;N;30;A;S;Fin;Fri;0
Ángel Correa;A;ARG;N;31;D;N;Dri;Vel;0
