Caen;FRA;62;Stade Michel-d'Ornano;Gaël Clichy;FRA;23335B;E51C25;20500
Anthony Mandréa;G;DZA;N;29;D;N;Ref;Con;0
Parfait Mandanda;G;COD;N;36;D;N;Col;Imp;0
Ryan Tutu;G;COD;N;21;D;N;Ref;Fle;0
Yannis Clémentia;G;MTQ;N;29;D;S;Ref;Fle;0
Dennis Appiah;L;FRA;N;34;D;S;Cru;Ace;0
Diabé Bolumbu;L;FRA;N;22;E;S;Cru;Vel;0
Hugo Lamouliatte;L;FRA;N;20;D;S;Mar;Agi;0
Lionel Carole;L;FRA;N;35;E;N;Pos;Res;0
Nassim Titebah;L;MAR;N;28;D;N;Des;For;0
Nazim Babaï;L;DZA;N;23;D;N;Cru;Vel;0
Sacha M'Baka;Z;CAF;N;22;D;S;Des;For;0
Freddy Bomo;V;CHE;N;20;D;N;Pas;Agi;0
Gabin Tomé;V;FRA;N;22;E;N;Des;For;0
Josué Kimboma;V;COD;N;20;D;N;Mar;Agi;0
Léo Milliner;M;FRA;N;20;D;S;Pas;Agi;0
Mohamed-Amine El Idrissi;M;MAR;N;21;E;S;Dri;Agi;0
Zoumana Bagbema;M;FRA;N;22;D;S;Pas;Vis;0
Ivann Botella;P;FRA;N;27;D;N;Pas;Cri;0
Keelyan Portut;P;FRA;N;19;D;S;Cru;Ace;0
Mohamed Hafid;P;MAR;N;21;E;S;Dri;Agi;0
Salim Diakité;P;FRA;N;21;D;N;Cru;Vel;0
Armand Gnanduillet;A;CIV;N;34;D;N;Cab;Imp;0
Fahd El Khoumisti;A;FRA;N;33;D;S;Fin;Fri;0
Samuel Noireau-Dauriat;A;MDG;N;23;D;N;Dri;Vel;0
