Trem;BRA;47;Zerão;Sandro Macapá;BRA;F60002;000000;4500
Felipe Fortaleza;G;BRA;N;21;D;N;Ref;Fle;0
Hiago;G;BRA;N;25;D;N;Sgo;Con;0
Victor Lube;G;BRA;N;32;D;S;Col;Con;0
Eduardo Orelha;L;BRA;N;21;D;N;Pas;Vel;0
Luiz Felipe;L;BRA;N;25;D;N;Pos;For;0
Rafael Baiano;L;BRA;N;30;D;S;Pas;For;0
Rivaldo;L;BRA;N;28;E;S;Des;Agi;0
Agenor Neto;Z;BRA;N;21;D;N;Pos;Vel;0
Eduardo Felipe;Z;BRA;N;31;D;N;Pos;Con;0
Léo Reis;Z;BRA;N;24;D;S;Des;For;0
Perema;Z;BRA;N;34;D;S;Cab;For;0
Alysson Barros;V;BRA;N;28;D;S;Mar;For;0
Cleilton;V;BRA;N;26;D;N;Des;Agi;0
Fábio Mucajá;V;BRA;N;27;D;S;Pas;For;0
George Pitbull;V;BRA;N;27;D;N;Des;For;0
Lucas Rondineles;V;BRA;N;27;D;S;Mar;Con;0
Marcos Paulo;V;BRA;N;26;D;N;Pas;Vis;0
Zé Lucas;V;BRA;N;27;D;N;Ant;Con;0
Gerson;M;BRA;N;25;D;N;Pas;Agi;0
Rafinha;M;BRA;N;23;D;N;Pas;Vis;0
Thiaguinho;M;BRA;N;31;D;N;Pas;Vis;0
Foguete;P;BRA;N;31;D;S;Cru;Ace;0
Wander Silva;P;BRA;N;32;E;S;Pas;Res;0
Mauro Praia;A;BRA;N;32;D;S;Fin;For;0
