Defensor Sporting;URY;75;Luis Franzini;Mauricio Larriera;URY;550091;FFFFFF;16000
Bruno Simone;G;URY;N;22;D;N;Ref;Con;0
Kevin Dawson;G;URY;N;34;D;S;Col;Fri;0
Lucas Machado;G;URY;N;28;D;N;Sgo;Fle;0
Axel Frugone;L;URY;N;21;E;S;Cru;Vel;0
Valentín Rodríguez;L;URY;N;25;E;N;Cru;Vel;0
Daniel Martínez;Z;URY;N;19;D;N;Mar;Vel;0
Edgar Elizalde;Z;URY;N;26;E;N;Ant;Vel;0
Francisco Sorondo;Z;URY;N;17;D;S;Des;Con;0
Geanfranco Rodríguez;Z;URY;N;19;D;N;Des;Vel;0
Guillermo de los Santos;Z;URY;N;35;D;S;Mar;Con;0
Mateo Caballero;Z;URY;N;18;D;S;Ant;Imp;0
Lucas de los Santos;V;URY;N;24;D;S;Ant;For;0
Erico Cuello;M;URY;N;21;D;N;Pas;Cri;0
Germán Barrios;M;URY;N;22;D;S;Chu;Vis;0
Juan Manuel Jorge;M;URY;N;22;A;N;Fin;Agi;0
Kevin Altez;M;URY;N;21;D;N;Pas;Agi;0
Martín Rabuñal;M;URY;N;32;D;N;Chu;Vis;0
Nicolás Wunsch;M;URY;N;23;D;S;Arm;Cri;0
Tomás Pozzo;M;ARG;N;25;E;N;Pas;Fri;0
Xavier Biscayzacú;M;MEX;N;21;E;N;Arm;Vis;0
Alan Torterolo;P;URY;N;18;D;S;Cru;Ace;0
Alex Perdomo;P;URY;N;24;D;N;Dri;Ace;0
Facundo Castro;P;URY;N;31;D;N;Pas;Vel;0
Lucas Agazzi;P;URY;N;21;D;S;Cru;Ace;0
Nicolás Medina;P;ARG;N;23;A;N;Dri;Cri;0
Brian Montenegro;A;PRY;N;33;E;S;Chu;For;0
José Neris;A;URY;N;25;D;N;Fin;For;0
Lautaro Navarro;A;URY;N;18;D;N;Dri;Vel;0
