Betim;BRA;46;Arena Vera Cruz;Leandro Zago;BRA;0A2878;D21423;1500
Denivys;G;BRA;N;25;E;N;Col;Fle;0
Michael;G;BRA;N;31;E;S;Ref;Con;0
Bryan Garcia;L;BRA;N;34;E;S;Cru;Ace;0
Cauã Marangoni;L;BRA;N;22;E;N;Mar;Vel;0
Danilo;L;BRA;N;23;D;N;Pos;Agi;0
Danilo Belão;L;BRA;N;29;D;S;Des;For;0
Isaac Bryan;L;BRA;N;29;E;N;Cru;For;0
Matheus Mascarenhas;L;BRA;N;28;E;N;Pas;Res;0
Patrick;L;BRA;N;35;D;N;Des;Agi;0
Pedro Henrique;L;BRA;N;22;E;S;Pas;Vel;0
Alan Santos;Z;BRA;N;35;D;N;Pos;Con;0
Dani Alves;Z;BRA;N;24;E;N;Ant;Vel;0
Gabriel Marques;Z;BRA;N;29;D;S;Des;For;0
Jean;Z;BRA;N;26;E;S;Mar;Vel;0
João Vitor;Z;BRA;N;21;D;N;Des;For;0
Naldo;Z;BRA;N;36;D;N;Pos;For;0
Pedro Botelho;Z;BRA;N;36;E;N;Ant;Con;0
Talison;Z;BRA;N;26;D;S;Cab;Imp;0
Bernardo;V;BRA;N;23;D;N;Des;Agi;0
Miticov;V;BRA;N;24;D;N;Pas;For;0
Riquelmy;V;BRA;N;24;D;S;Mar;Agi;0
Diego Jardel;M;BRA;N;36;D;N;Pas;Fri;0
Jhemerson;M;BRA;N;29;D;S;Arm;Cri;0
Juan Macías;M;ECU;N;21;D;N;Pas;Agi;0
Vitinho;M;BRA;N;24;D;S;Dri;Agi;0
Gleisinho;P;BRA;N;34;D;N;Arm;Res;0
Paulinho;P;BRA;N;33;D;N;Cru;Vel;0
Marcelo;A;BRA;N;28;D;N;Fin;For;0
Paulo Henrique;A;BRA;N;33;D;S;Cab;Imp;0
Victor Michell;A;BRA;N;23;D;N;Dri;Vel;0
