Atalanta;ITA;89;New Balance Arena;Maurizio Sarri;ITA;295CB0;1E191A;24500
Marco Carnesecchi;G;ITA;N;26;D;S;Ref;Fle;0
Marco Sportiello;G;ITA;N;34;D;N;Col;Fri;0
Thomas Pompei;G;ITA;N;20;E;N;Col;Con;0
Giorgio Scalvini;Z;ITA;N;22;D;S;Des;Res;0
Isak Hien;Z;SWE;N;27;D;N;Des;For;0
Odilon Kossounou;Z;CIV;N;25;D;S;Pos;Vel;3
Sead Kolasinac;Z;BIH;N;33;E;N;Mar;For;0
Thomas Kristensen;Z;DNK;N;24;D;N;Cab;Imp;0
Charles De Ketelaere;M;BEL;N;25;E;N;Pas;Vis;0
Eljif Elmas;M;MKD;N;26;D;N;Dri;Fri;5
Franck Kessié;M;CIV;N;29;D;N;Pas;Res;0
Gianluca Gaetano;M;ITA;N;26;D;S;Arm;Cri;0
Lazar Samardžić;M;SRB;N;24;E;S;Arm;Cri;0
Mario Pašalić;M;HRV;N;31;D;S;Pas;Fri;0
Raoul Bellanova;M;ITA;N;26;D;S;Fin;Agi;0
Éderson;M;BRA;N;27;D;S;Pas;Res;3
Davide Zappacosta;P;ITA;N;34;D;N;Dri;Vel;0
Jonathan Rowe;P;ENG;N;23;D;N;Dri;Vel;0
Kamaldeen Sulemana;P;GHA;N;24;D;N;Pas;Res;0
Lorenzo Bernasconi;P;ITA;N;22;E;N;Arm;Vel;0
Nicola Zalewski;P;POL;N;24;D;S;Fin;Vel;0
Giacomo Raspadori;A;ITA;N;26;D;S;Cab;For;0
Gianluca Scamacca;A;ITA;N;27;D;S;Chu;For;0
Nikola Krstović;A;MNE;N;26;D;N;Fin;Fri;0
