São Bernardo;BRA;70;Primeiro de Maio;Vinícius;BRA;F9CF1B;000000;13000
Alex Alves;G;BRA;N;39;D;S;Col;Con;0
Júnior Oliveira;G;BRA;N;36;D;N;Col;Fri;0
Hugo Sanches;L;BRA;N;32;D;S;Cru;Agi;0
Jota;L;BRA;N;21;D;N;Cru;Vel;0
Mário Sérgio;L;BRA;N;32;E;N;Pos;Res;0
Pará;L;BRA;N;30;E;S;Pas;Res;0
Rodrigo Ferreira;L;BRA;N;31;D;S;Des;Res;0
Augusto;Z;BRA;N;29;D;S;Cab;For;0
Hélder Maciel;Z;BRA;N;36;D;S;Pos;Con;0
Jemerson;Z;BRA;N;33;D;N;Des;For;0
Luizão;Z;BRA;N;24;E;N;Ant;Vel;0
Matheus Salustiano;Z;BRA;N;33;D;N;Pos;Con;0
Wellington;Z;BRA;N;25;E;N;Des;For;0
Foguinho;V;BRA;N;34;D;S;Mar;For;0
Lucas Lima;V;BRA;N;26;D;N;Mar;Con;0
Marcão;V;BRA;N;35;D;N;Mar;For;0
Rodrigo Andrade;V;BRA;N;29;D;N;Mar;For;0
Romisson;V;BRA;N;29;D;S;Pas;Res;0
Dudu Miraíma;M;BRA;N;26;D;S;Arm;Agi;0
Hyoran;M;BRA;N;33;D;N;Chu;Cri;0
Lucas Fernandes;M;BRA;N;28;D;N;Pas;Vis;0
Echaporã;P;BRA;N;26;D;S;Dri;Ace;0
Fabrício Daniel;P;BRA;N;28;E;N;Fin;Cri;0
Felipe Garcia;P;BRA;N;35;D;S;Cru;Res;0
Pedrinho;P;BRA;N;26;D;N;Dri;Ace;0
Pedro Vitor;P;BRA;N;28;E;N;Cru;Vel;0
Daniel Amorim;A;BRA;N;36;D;N;Cab;For;0
Daniel Davi;A;BRA;N;21;A;N;Fin;Vel;0
Lucas Reis;A;BRA;N;25;D;N;Fin;For;0
Lucas Rian;A;BRA;N;26;A;N;Dri;Vel;0
