Çorum;TUR;76;Çorum Şehir Stadyumu;Uğur Uçar;TUR;DA291C;000000;15000
Arif Şimşir;G;TUR;N;21;D;N;Ref;For;0
Erhan Erentürk;G;TUR;N;31;D;N;Sgo;Fle;0
Marcos Felipe;G;BRA;N;30;D;S;Rbo;Fri;0
Andrei Borza;L;ROU;N;20;E;S;Cru;Res;0
Cemali Sertel;L;TUR;N;26;E;N;Cru;For;0
Gökhan Sazdağı;L;TUR;N;31;D;S;Cru;Res;0
Hüseyin Bulut;L;TUR;N;27;D;N;Pas;Vel;0
Alexandre Penetra;Z;PRT;N;24;D;S;Pos;For;0
Arda Şengül;Z;TUR;N;27;E;N;Cab;Res;0
Hrvoje Smolcic;Z;HRV;N;26;E;S;Pos;Vel;0
Serdar Saatçı;Z;TUR;N;23;D;N;Des;For;0
Taha Rençber;Z;TUR;N;18;E;N;Pos;Res;0
Berat Özdemir;V;TUR;N;28;D;S;Des;For;0
Ylber Ramadani;V;ALB;N;30;D;N;Mar;Res;0
Ahmed Ildız;M;TUR;N;29;D;N;Chu;Vis;0
Atakan Akkaynak;M;TUR;N;27;D;N;Fin;Res;0
Ermin Mahmic;M;BIH;N;21;D;N;Fin;Vis;0
Fredy;M;AGO;N;36;D;S;Fin;Agi;0
Furkan Çetinkaya;M;TUR;N;17;E;N;Pas;Res;0
Göktan Gürpüz;M;TUR;N;23;D;N;Arm;Cri;0
Kenan Fakılı;M;TUR;N;23;D;N;Chu;Cri;0
Markus Karlsbakk;M;NOR;N;26;D;N;Dri;Res;0
Mohamed Diomandé;M;CIV;N;24;E;N;Arm;Cri;0
Alexandros Kyziridis;P;GRC;N;25;A;S;Arm;Agi;0
Emircan Gürlük;P;TUR;N;22;D;N;Dri;Ace;0
Serdar Gürler;P;TUR;N;34;D;S;Fin;Vel;0
Hasanege Akdoğan;A;TUR;N;18;D;N;Chu;Vel;0
Jesús Ramírez;A;VEN;N;28;E;S;Fin;Fri;0
Mame Thiam;A;SEN;N;33;D;N;Cab;For;0
Youssoufa Moukoko;A;DEU;N;21;E;S;Fin;Vel;0
