Manchester City;ENG;97;Etihad Stadium;Enzo Maresca;ITA;84BBFF;FFFFFF;55000
Gerónimo Rulli;G;ARG;N;34;D;N;Rbo;Fle;0
Gianluigi Donnarumma;G;ITA;N;27;D;S;Ref;Fle;1
Marcus Bettinelli;G;ENG;N;34;D;N;Rbo;Con;0
Josh Wilson-Esbrand;L;ENG;N;23;E;N;Cru;Vel;0
Matheus Nunes;L;PRT;N;27;D;S;Pas;Agi;0
Nico O'Reilly;L;ENG;N;21;E;S;Pas;Agi;0
Rayan Aït-Nouri;L;DZA;N;25;E;N;Cru;Agi;0
Rico Lewis;L;ENG;N;21;D;N;Pas;Agi;0
Abdukodir Khusanov;Z;UZB;N;22;D;N;Ant;Imp;0
Josko Gvardiol;Z;HRV;N;24;E;S;Pos;Vel;0
Marc Guéhi;Z;ENG;N;26;D;N;Ant;Imp;0
Rúben Dias;Z;PRT;N;29;D;S;Pos;Res;3
Vitor Reis;Z;BRA;N;20;D;N;Ant;Vel;0
Kalvin Phillips;V;ENG;N;30;D;S;Mar;Agi;0
Ayyoub Bouaddi;M;MAR;S;18;D;N;Arm;Cri;0
Claudio Echeverri;M;ARG;N;20;D;N;Dri;Cri;0
Elliot Anderson;M;ENG;N;23;D;N;Arm;Vis;0
Enzo Fernández;M;ARG;N;25;D;S;Chu;Vis;4
Mateo Kovacic;M;HRV;N;32;D;S;Pas;Vis;0
Phil Foden;M;ENG;S;26;E;S;Fin;Vis;0
Rayan Cherki;M;FRA;N;22;A;N;Pas;Cri;0
Allan;P;BRA;N;22;E;N;Dri;Vel;0
Antoine Semenyo;P;GHA;N;26;D;N;Fin;Agi;0
Iliman Ndiaye;P;SEN;N;26;D;N;Dri;Vel;0
Jack Grealish;P;ENG;N;30;D;S;Pas;Cri;0
Jeremy Monga;P;ENG;N;17;D;N;Dri;Ace;0
Jérémy Doku;P;BEL;N;24;D;S;Dri;Cri;5
Erling Haaland;A;NOR;S;25;E;S;Fin;For;6
