Gama;BRA;52;Bezerrão;Luiz Carlos Carioca;BRA;016549;FFFFFF;20000
Leandro;G;BRA;N;37;D;N;Col;Imp;0
Leonardo;G;BRA;N;22;E;N;Ref;Fle;0
Renan Rinaldi;G;BRA;N;33;D;S;Ref;Con;0
Gabriel Lima;L;BRA;N;23;E;N;Des;Agi;0
Iranilson;L;BRA;N;33;D;N;Cru;For;0
Jonathan;L;BRA;N;22;E;N;Pos;Vel;0
Lucas Piauí;L;BRA;N;31;E;S;Pas;Vel;0
Lucão;L;BRA;N;24;E;N;Mar;For;0
Michel;L;BRA;N;31;D;S;Pas;Agi;0
Darlan;Z;BRA;N;23;D;S;Mar;Vel;0
PV;Z;BRA;N;28;E;N;Pos;For;0
Wellington;Z;BRA;N;34;D;N;Ant;Con;0
Zulu;Z;BRA;N;28;D;S;Des;For;0
David Lucas;V;BRA;N;27;E;S;Pas;Vis;0
Gabriel Galhardo;V;BRA;N;32;A;N;Des;For;0
Lúcio;V;BRA;N;30;E;S;Mar;Con;0
Moisés Ribeiro;V;BRA;N;35;D;S;Des;For;0
Russo;V;BRA;N;30;D;N;Mar;Con;0
Danilinho;M;BRA;N;27;D;N;Pas;Vis;0
Lucas Lourenço;M;BRA;N;25;D;N;Arm;Agi;0
Renato Soares;M;BRA;N;27;D;S;Pas;Agi;0
Willian Júnior;M;BRA;N;27;E;N;Pas;Vis;0
De Paula;P;BRA;N;27;E;N;Dri;Vel;0
Kennedy;P;BRA;N;29;A;N;Fin;Res;0
Klenisson;P;BRA;N;31;D;N;Cru;Vel;0
Luan;P;BRA;N;37;E;N;Pas;Cri;0
Daniel Guerreiro;A;BRA;N;33;D;N;Cab;Imp;0
Felipe Clemente;A;BRA;N;27;D;S;Fin;Vel;0
Henrique Almeida;A;BRA;N;35;D;N;Fin;Fri;0
Ramon;A;BRA;N;26;D;S;Pas;For;0
