Arsenal;ENG;99;Emirates Stadium;Mikel Arteta;ESP;EF0107;FFFFFF;60500
David Raya;G;ESP;N;30;D;S;Ref;Fle;1
Illan Meslier;G;FRA;N;26;E;N;Ref;Fle;0
Kepa Arrizabalaga;G;ESP;N;31;D;N;Col;Fle;0
Tommy Setford;G;ENG;N;20;D;N;Rbo;Con;0
Ben White;L;ENG;N;28;D;N;Pos;Agi;0
Jurriën Timber;L;NLD;N;25;D;S;Pos;Agi;0
Myles Lewis-Skelly;L;ENG;N;19;E;N;Pas;Vel;0
Riccardo Calafiori;L;ITA;N;24;E;N;Pos;Agi;0
Cristhian Mosquera;Z;ESP;N;22;D;N;Pos;Res;0
Ezri Konsa;Z;ENG;N;28;D;N;Pos;Res;0
Gabriel Magalhães;Z;BRA;S;28;E;S;Ant;Imp;4
Piero Hincapié;Z;ECU;N;24;E;N;Des;Vel;0
William Saliba;Z;FRA;N;25;D;N;Des;Con;0
Martín Zubimendi;V;ESP;N;27;D;S;Pas;Agi;0
Bruno Guimarães;M;BRA;S;28;D;N;Pas;Vis;0
Declan Rice;M;ENG;S;27;D;S;Arm;Vis;0
Eberechi Eze;M;ENG;N;28;D;S;Dri;Agi;0
Martin Ødegaard;M;NOR;S;27;E;S;Arm;Vis;5
Mikel Merino;M;ESP;N;30;E;S;Fin;Agi;0
Bukayo Saka;P;ENG;S;24;E;S;Cru;Cri;5
Christos Tzolis;P;GRC;N;24;D;N;Arm;Cri;0
Gabriel Martinelli;P;BRA;N;25;D;S;Fin;Agi;0
Max Dowman;P;ENG;N;16;E;N;Pas;Agi;0
Noni Madueke;P;ENG;N;24;E;N;Fin;Cri;0
Kai Havertz;A;DEU;N;27;E;N;Cab;Imp;0
Viktor Gyökeres;A;SWE;N;28;D;S;Fin;For;6
