Bolton;ENG;75;Toughsheet Community Stadium;Steven Schumacher;ENG;253A7A;FFFFFF;28500
David Harrington;G;WLS;N;26;D;N;Ref;Fle;0
Jack Bonham;G;IRL;N;32;D;S;Ref;Con;0
Luke Hutchinson;G;ENG;N;23;D;N;Ref;Fri;0
Nathan Broome;G;ENG;N;24;D;N;Rbo;Fle;0
Gaizka Larrazabal;L;ESP;N;28;D;S;Cru;Res;0
Luca Stephenson;L;ENG;N;22;D;S;Des;Res;0
Max Conway;L;ENG;N;22;E;S;Cru;Vel;0
Akin Famewo;Z;ENG;N;27;E;S;Des;For;0
Ben Davies;Z;ENG;N;31;E;N;Pos;Con;0
Chris Forino;Z;LCA;N;26;D;S;Ant;Imp;0
Eoin Toal;Z;NIR;N;27;D;N;Cab;Con;0
Lewis Brunt;Z;ENG;N;25;D;N;Pos;Vel;0
Xavier Simons;V;ENG;N;23;D;N;Pas;For;0
David Watson;M;SCT;N;21;D;N;Fin;Res;0
Ethan Erhahon;M;SCT;N;25;E;S;Pas;Vis;0
Joel Randall;M;ENG;N;26;D;N;Dri;Agi;0
Josh Sheehan;M;WLS;N;31;D;S;Pas;Vis;0
Rúben Rodrigues;M;PRT;N;30;A;N;Arm;Cri;0
Samuel Iling-Junior;M;ENG;N;22;E;N;Dri;Res;0
Charlie Warren;P;ENG;N;22;E;N;Fin;Vel;0
Jayden Nelson;P;CAN;N;23;D;N;Dri;Vel;0
Kyliane Dong;P;FRA;N;21;D;N;Cru;Ace;0
Thierry Gale;P;BRB;N;24;D;S;Dri;Ace;0
John McAtee;A;ENG;N;27;D;S;Fin;Vel;0
Ryan Hardie;A;SCT;N;29;D;N;Fin;Vel;0
Sam Dalby;A;ENG;N;26;E;S;Cab;Imp;0
Theo Bair;A;CAN;N;26;D;N;Pas;Fri;0
