Juve Stabia;ITA;72;Romeo Menti;Pietro De Giorgio;ITA;E8F009;00004A;7000
Alessandro Signorini;G;ITA;N;27;D;N;Ref;Con;0
Ante Vukovic;G;HRV;N;22;D;N;Col;Imp;0
Paolo Vismara;G;ITA;N;23;D;N;Ref;Fle;0
Pietro Boer;G;ITA;N;24;D;S;Ref;Fle;0
Giulio Scuderi;L;ITA;N;20;E;S;Pos;Agi;0
Manuel Ricciardi;L;ITA;N;26;D;S;Pas;Res;0
Matteo Baldi;L;ITA;N;24;D;S;Pos;For;0
Terrence Douglas;L;NLD;N;24;E;N;Pas;Vel;0
Tommaso Maggioni;L;ITA;N;25;D;N;Mar;Res;0
Davide Bettella;Z;ITA;N;26;D;N;Ant;Con;0
Francesco Gallea;Z;MLI;N;21;D;N;Pos;For;0
Marco Bellich;Z;ITA;N;27;E;S;Cab;Imp;0
Nicola Pietrangeli;Z;ITA;N;26;D;N;Pos;For;0
Federico Artioli;V;ITA;N;25;D;N;Pas;Vis;0
Christian Pierobon;M;ITA;N;24;D;S;Arm;Res;0
Daniel Perin;M;ITA;N;18;D;N;Pas;Agi;0
Davide Buglio;M;ITA;N;28;E;S;Pas;Res;0
Fabio Maistro;M;ITA;N;28;D;N;Arm;Agi;0
Giuseppe Sibilli;M;ITA;N;30;D;N;Dri;Cri;0
Justin Kumi;M;ITA;N;22;D;N;Arm;Agi;0
Kevin Piscopo;M;ITA;N;28;D;S;Fin;Res;0
Nermin Karić;M;SWE;N;27;D;N;Arm;Res;0
Thomas Battistella;M;ITA;N;25;D;S;Fin;Res;0
Nicola Patanè;P;ITA;N;22;D;S;Dri;Agi;0
Romeo Sandrucci;P;ITA;N;19;E;N;Pas;Agi;0
Saná Fernandes;P;PRT;N;20;D;N;Dri;Agi;0
Antonio Di Nardo;A;ITA;N;27;D;N;Fin;Res;0
Leonardo Candellone;A;ITA;N;28;D;S;Fin;For;0
Luigi Caccavo;A;ITA;N;22;D;N;Fin;For;0
