Rio Ave;PRT;77;Estadio dos Arcos;Sotiris Sylaidopoulos;GRC;076132;FFFFFF;5000
Antzelo Sina;G;ALB;N;22;E;N;Ref;Con;0
Cezary Miszta;G;POL;N;24;D;S;Ref;Fle;0
Ennio van der Gouw;G;NLD;N;26;D;N;Col;Con;0
Kevin Chamorro;G;CRI;N;26;E;N;Sgo;For;0
João Tomé;L;PRT;N;23;D;N;Des;Agi;0
Marios Vrousai;L;GRC;N;28;D;S;Cru;Res;0
Pedro Amaral;L;PRT;N;28;E;N;Pos;Vel;0
Andreas Ntoi;Z;GRC;N;23;D;S;Des;For;0
Francisco Petrasso;Z;ARG;N;24;D;S;Mar;For;0
Gustavo Mancha;Z;BRA;N;22;E;N;Ant;Con;0
Jakub Brabec;Z;CZE;N;33;D;S;Pos;Con;0
Julien Lomboto;Z;FRA;N;24;D;N;Mar;For;0
Nelson Abbey;Z;ENG;N;22;E;S;Mar;For;0
Georgios Liavas;V;GRC;N;25;A;S;Ant;Con;0
Tamás Nikitscher;V;HUN;N;26;D;S;Des;For;0
Brandon Aguilera;M;CRI;N;23;E;S;Pas;Vis;0
Diogo Nascimento;M;PRT;N;23;D;N;Pas;Agi;0
Malik Sellouki;M;FRA;N;26;D;N;Fin;Cri;0
Ryan Guilherme;M;BRA;N;23;D;N;Pas;Res;0
Amine Rehmi;P;NLD;N;24;E;N;Pas;Cri;0
Dario Špikić;P;HRV;N;27;D;S;Arm;Cri;0
Diogo Bezerra;P;BRA;N;24;D;N;Arm;Ace;0
Rafael Lobato;P;BRA;N;20;E;N;Pas;Agi;0
Roland Galcik;P;SVK;N;24;E;N;Dri;Agi;0
Tobías Medina;P;ARG;N;22;E;N;Pas;Vel;0
Jalen Blesa;A;ESP;N;25;D;S;Fin;Fri;0
Samuel Alves;A;BRA;N;18;E;N;Pas;Vel;0
Tamble;A;GNB;N;25;D;N;Fin;For;0
