Real Valladolid;ESP;73;José Zorrilla;Fran Escribá;ESP;7F2282;FFFFFF;27500
Dani Martín;G;ESP;N;20;D;N;Ref;Con;0
Álvaro Aceves;G;ESP;N;22;D;S;Col;Con;0
Carlos Clerc;L;ESP;N;34;E;S;Pos;Res;0
Clément Michelin;L;FRA;N;29;D;N;Cru;Ace;0
Guille Bueno;L;ESP;N;23;E;S;Pos;Agi;0
Homam Al-Amin;L;QAT;N;26;E;N;Pas;Res;0
Iván Alejo;L;ESP;N;31;D;S;Mar;Res;0
Iván Garriel;L;ESP;N;21;E;N;Pos;Agi;0
Trilli;L;ESP;N;23;D;N;Des;Vel;0
David Torres;Z;ESP;N;23;E;S;Pos;Con;0
Miguel Rubio;Z;ESP;N;28;D;S;Ant;Imp;0
Pablo Tomeo;Z;ESP;N;26;D;S;Cab;For;0
Ramón Martínez;Z;ESP;N;23;D;N;Des;Con;0
Mathis Lachuer;V;FRA;N;25;E;N;Pas;Res;0
Stanko Juric;V;HRV;N;29;D;S;Des;For;0
Dani Pérez;M;ESP;N;20;D;N;Arm;Vis;0
Julien Ponceau;M;FRA;N;25;D;N;Pas;Vis;0
Thiago Ojeda;M;ARG;N;23;D;S;Pas;Res;0
Víctor Fernández;M;ESP;N;18;E;N;Fin;Agi;0
Álex Balboa;M;GNQ;N;25;D;N;Pas;Res;0
Kaj de Rooij;P;NLD;N;25;D;N;Fin;Vel;0
Luis Chacón;P;ESP;N;26;D;S;Arm;Res;0
Tay Abed;P;ISR;N;22;E;N;Fin;Ace;0
Yeray Cabanzón;P;ESP;N;23;E;N;Pas;Cri;0
Adrián Arnu;A;ESP;N;19;D;N;Fin;For;0
Juanmi Latasa;A;ESP;N;25;E;S;Cab;For;0
Marcos André;A;BRA;N;29;D;N;Fin;For;0
Robin van Duiven;A;NLD;N;20;D;N;Fin;Vel;0
Víctor Barberá;A;ESP;N;21;D;N;Fin;Res;0
