Stade de Reims;FRA;74;Stade Auguste-Delaune;Nicolas Usaï;FRA;EE2223;FFFFFF;21000
Alexis Sauvage;G;FRA;N;34;D;S;Ref;Con;0
Edin Omeragic;G;CHE;N;24;D;N;Sgo;Fri;0
Soumaïla Sylla;G;GIN;N;22;D;N;Sgo;Fle;0
Tom Ritzy Hülsmann;G;DEU;N;22;D;N;Ref;Imp;0
Aleksandr Guboglo;L;CAN;N;19;D;N;Pos;Agi;0
Armel Zohouri;L;CIV;N;25;D;S;Mar;Agi;0
Daouda Guindo;L;MLI;N;23;E;N;Des;Res;0
Sergio Akieme;L;ESP;N;28;E;S;Cru;Agi;0
Elie N'Tamon;Z;CIV;N;22;D;N;Cab;Vel;0
Joseph Okumu;Z;KEN;N;29;D;S;Pos;Res;0
Samuel Kotto;Z;CMR;N;22;E;N;Ant;For;0
John Otomewo;V;NGA;N;19;D;N;Des;For;0
Mory Gbane;V;CIV;N;25;D;S;Des;Con;0
John Patrick;M;IRL;N;22;D;N;Dri;Cri;0
Martial Tia;M;MLI;N;19;D;N;Arm;Agi;0
Théo Leoni;M;BEL;N;26;E;S;Pas;Vis;0
Yaya Fofana;M;CIV;N;22;D;N;Dri;Res;0
Yohan Demoncy;M;FRA;N;30;D;S;Arm;Agi;0
Ike Orazi;P;IRL;N;19;D;N;Cru;Ace;0
Keito Nakamura;P;JPN;N;25;D;S;Arm;Vel;0
Mohamed Daramy;P;DNK;N;24;D;N;Dri;Cri;0
Amine Salama;A;FRA;N;26;D;S;Pas;For;0
Hafiz Umar Ibrahim;A;NGA;N;20;E;N;Pas;Imp;0
Oumar Diakité;A;CIV;N;22;D;S;Fin;Vel;0
Sambou Soumano;A;SEN;N;25;D;N;Chu;Vel;0
Youssef El Kachati;A;MAR;N;26;D;S;Fin;Fri;0
