Bursaspor;TUR;63;Atatürk Spor Kompleksi;Mustafa Er;TUR;007A33;FFFFFF;43000
Ahmet Kıvanç;G;TUR;N;28;D;N;Col;For;0
Anıl Atağ;G;TUR;N;36;D;N;Sgo;Fle;0
Kerem Matışlı;G;TUR;N;19;D;S;Rbo;Fle;0
Salih Efe Fidan;G;TUR;N;18;D;N;Ref;Con;0
Barış Gök;L;TUR;N;32;E;S;Pas;Vel;0
Rahmetullah Berişbek;L;TUR;N;27;D;S;Des;Vel;0
Toral Bayramov;L;AZE;N;25;E;N;Pas;Vel;0
Zeki Yavru;L;TUR;N;34;D;N;Pas;Ace;0
Alperen Babacan;Z;TUR;N;29;D;S;Des;Vel;0
Batuhan Yayıkcı;Z;TUR;N;29;E;S;Ant;Vel;0
Emirhan Başyiğit;Z;TUR;N;21;E;N;Pos;Vel;0
Ertuğrul Ersoy;Z;TUR;N;29;D;N;Pos;Vel;0
Juergen Elitim;V;COL;N;27;E;S;Pas;Vis;0
Recep İnanç;V;TUR;N;20;D;N;Mar;Agi;0
Soner Aydoğdu;V;TUR;N;35;E;S;Des;Agi;0
Eyüp Akcan;M;TUR;N;24;D;S;Pas;Agi;0
Hakan Atış;M;TUR;N;17;D;N;Pas;Res;0
Lewis Baker;M;ENG;N;31;D;N;Pas;Agi;0
Lincoln;M;BRA;N;27;E;S;Arm;Vis;0
Tayfun Aydoğan;M;TUR;N;30;D;N;Pas;Res;0
Amine Boutrah;P;FRA;N;25;D;S;Cru;Ace;0
Ertuğrul Furat;P;TUR;N;25;D;N;Pas;Vel;0
Halil Akbunar;P;TUR;N;32;E;N;Pas;Ace;0
Hüseyin Maldar;P;TUR;N;19;D;N;Pas;Ace;0
İlhan Depe;P;TUR;N;33;A;N;Pas;Res;0
Mustafa Genç;P;TUR;N;20;D;N;Pas;Res;0
Baran Başyiğit;A;TUR;N;23;D;N;Pas;Res;0
Emir Kaan Gültekin;A;TUR;N;25;D;N;Pas;Vel;0
Kelechi Iheanacho;A;NGA;N;29;E;S;Pas;Vel;0
