Brentford;ENG;90;Gtech Community Stadium;Keith Andrews;IRL;FF0000;FFFFFF;17000
Caoimhín Kelleher;G;IRL;N;27;D;S;Rbo;Fri;0
Ellery Balcombe;G;ENG;N;26;D;N;Sgo;Con;0
Hákon Valdimarsson;G;ISL;N;24;D;N;Ref;Fle;0
Julian Eyestone;G;USA;N;20;D;N;Col;For;0
Aaron Hickey;L;SCT;N;24;A;N;Des;Agi;0
El Hadji Malick Diouf;L;SEN;N;21;E;N;Cru;Agi;0
Jayden Meghoma;L;ENG;N;20;E;N;Cru;Res;0
Keane Lewis-Potter;L;ENG;N;25;D;S;Cru;Agi;0
Michael Kayode;L;ITA;N;22;D;N;Pos;Agi;0
Rico Henry;L;JAM;N;29;E;S;Pos;Agi;0
Benjamin Fredrick;Z;NGA;N;21;D;N;Mar;Vel;0
Jannik Schuster;Z;AUT;N;20;D;N;Ant;Con;0
Ji-soo Kim;Z;KOR;N;21;A;N;Ant;For;0
Kristoffer Ajer;Z;NOR;N;28;D;S;Ant;For;3
Nathan Collins;Z;IRL;N;25;D;S;Ant;Imp;0
Sepp van den Berg;Z;NLD;N;24;D;N;Cab;Imp;0
Vitaly Janelt;V;DEU;N;28;E;S;Ant;Vis;0
Antoni Milambo;M;NLD;N;21;D;N;Chu;Vis;0
Fábio Carvalho;M;PRT;N;23;D;N;Arm;Vis;0
Josh Dasilva;M;ENG;N;27;E;N;Dri;Vis;0
Mamadou Sangaré;M;MLI;N;24;E;N;Pas;Cri;0
Mathias Jensen;M;DNK;N;30;D;S;Chu;Vis;0
Mikkel Damsgaard;M;DNK;N;26;D;S;Arm;Vis;0
Yegor Yarmolyuk;M;UKR;N;22;D;N;Pas;Res;0
Dango Ouattara;P;BFA;N;24;E;S;Pas;Res;0
Jaidon Anthony;P;ENG;N;26;D;N;Cru;Agi;0
Kevin Schade;P;DEU;N;24;D;S;Fin;Agi;0
Callum Wilson;A;ENG;N;34;D;N;Fin;Vel;0
Igor Thiago;A;BRA;N;25;D;S;Fin;For;6
Kaye Furo;A;BEL;N;19;D;N;Pas;For;0
