Saint-Étienne;FRA;75;Stade Geoffroy-Guichard;Ian Cathro;SCT;40B848;FFFFFF;41500
Gautier Larsonneur;G;FRA;N;29;D;S;Rbo;Con;0
Lucas Lavallée;G;FRA;N;23;D;S;Ref;Fle;0
Mamour Ndiaye;G;SEN;N;20;D;N;Ref;Imp;0
João Ferreira;L;PRT;N;25;D;S;Mar;Vel;0
Lassana Traoré;L;SEN;N;19;E;N;Pas;For;0
Strahinja Stojkovic;L;SRB;N;19;D;N;Mar;Agi;0
Chico Lamba;Z;PRT;N;23;D;N;Mar;Con;0
Julien Le Cardinal;Z;FRA;N;28;D;S;Pos;Res;0
Kévin Pedro;Z;FRA;N;20;D;N;Des;For;0
Maxime Bernauer;Z;FRA;N;28;D;N;Cab;Con;0
Sohaib Naïr;Z;DZA;N;24;D;N;Pos;Con;0
Tamar Svetlin;V;SVN;N;25;D;S;Pas;Vis;0
Áron Csongvai;V;HUN;N;25;D;N;Pas;Con;0
Jakob Breum;M;DNK;N;22;D;N;Arm;Cri;0
Mahmoud Jaber;M;ISR;N;26;D;S;Chu;Vis;0
Nadir El Jamali;M;FRA;N;19;D;N;Pas;Cri;0
Paul Eymard;M;FRA;N;18;D;N;Fin;Vis;0
Augustine Boakye;P;GHA;N;25;E;S;Dri;Ace;0
Ben Old;P;NZL;N;23;E;S;Cru;Agi;0
Thierno Ballo;P;AUT;N;24;D;S;Arm;Agi;0
Zuriko Davitashvili;P;GEO;N;25;D;S;Pas;Res;0
Djylian N'Guessan;A;FRA;N;17;D;N;Cab;For;0
Irvin Cardona;A;MLT;N;28;D;S;Chu;Res;0
Joshua Duffus;A;JAM;N;21;D;N;Dri;Imp;0
Marten-Chris Paalberg;A;EST;N;17;A;N;Chu;For;0
