Casa Pia;PRT;76;Municipal de Rio Maior;Álvaro Pacheco;PRT;121212;FFFFFF;7000
André Gomes;G;PRT;N;21;E;N;Ref;Fle;0
Daniel Azevedo;G;PRT;N;28;D;N;Sgo;Con;0
Ivan Mandić;G;HRV;N;23;E;N;Col;Imp;0
Patrick Sequeira;G;CRI;N;27;D;S;Ref;Fle;0
Abdu Conté;L;PRT;N;28;E;S;Cru;For;0
André Geraldes;L;PRT;N;35;D;S;Des;For;0
Pedro Rosas;L;PRT;N;25;E;N;Pos;For;0
David Sousa;Z;BRA;N;25;E;S;Mar;For;0
João Goulart;Z;PRT;N;26;D;S;Des;Res;0
Kaique Rocha;Z;BRA;N;25;D;N;Cab;Imp;0
Kaly;Z;AGO;N;22;D;S;Cab;For;0
Seba Pérez;V;COL;N;33;D;S;Mar;Con;0
Selvi Clua;V;ESP;N;21;E;N;Pas;Con;0
Gabi;M;PRT;N;26;E;N;Pas;Res;0
João Rego;M;PRT;N;21;D;S;Pas;Cri;0
JP;M;BRA;N;21;A;N;Dri;Cri;0
Lawrence Ofori;M;GHA;N;28;D;S;Pas;Vis;0
Raúl Blanco;M;ESP;N;25;E;N;Fin;Cri;0
Aymen Zouin;P;MAR;N;19;D;N;Fin;Vel;0
Benjamin Pauwels;P;BEL;N;21;D;N;Dri;Ace;0
Jérémy Livolant;P;FRA;S;28;D;S;Arm;Cri;0
Kelian Nsona;P;FRA;N;24;D;N;Fin;Vel;0
Kevin Prieto;P;URY;N;23;D;N;Pas;Ace;0
Korede Osundina;P;USA;N;22;A;N;Dri;Ace;0
Rochinha;P;PRT;N;31;D;N;Dri;Vel;0
Alassana Jatta;A;GMB;N;27;D;N;Fin;For;0
Cassiano;A;BRA;N;37;D;S;Fin;Fri;0
Clau Mendes;A;GNB;N;25;E;N;Fin;For;0
Evans Maurin;A;FRA;N;25;E;N;Pas;For;0
Henrique Araújo;A;PRT;N;24;D;N;Fin;Fri;0
