Sanliurfaspor;TUR;53;11 Nisan Stadyumu;Gürses Kılıç;TUR;FFCC00;046C04;28500
Abdulkadir Sünger;G;TUR;N;26;E;N;Ref;Con;0
Aydın Bağ;G;TUR;N;32;D;N;Col;Imp;0
Burak Öğür;G;TUR;N;36;E;S;Sgo;Fri;0
Oytun Özdoğan;G;TUR;N;28;D;N;Ref;For;0
Alper Tursun;L;TUR;N;33;D;S;Cru;Res;0
Aslan Gök;L;TUR;N;31;E;S;Mar;Vel;0
Berke Kılıç;L;TUR;N;21;D;N;Des;Agi;0
Burak Çamoğlu;L;TUR;N;29;D;N;Pos;Ace;0
Fatih Ekinci;L;TUR;N;22;D;N;Mar;Res;0
İlker Günaslan;L;TUR;N;29;E;N;Pas;For;0
Eyüpcan Delibalta;Z;TUR;N;29;D;N;Cab;Res;0
Hasan Hatipoğlu;Z;TUR;N;37;E;S;Mar;Con;0
İbrahim Sürgülü;Z;TUR;N;33;D;S;Des;For;0
Levent Gülen;Z;CHE;N;32;D;S;Ant;Imp;0
Umut Mert Toy;Z;TUR;N;22;E;N;Pos;Vel;0
Mahmut Küçük;V;TUR;N;21;D;N;Ant;Agi;0
Muhammed Gönülaçar;V;TUR;N;31;D;S;Pas;Vis;0
Ferhan Evren;M;TUR;N;25;D;N;Pas;Agi;0
Özcan Aydın;M;TUR;N;28;D;S;Fin;Res;0
Özgür Sert;M;TUR;N;25;D;N;Pas;Cri;0
Ahmet Karademir;P;TUR;N;22;D;S;Dri;Agi;0
Ali Aydemir;P;TUR;N;30;D;S;Dri;Agi;0
Eyüp Can Özel;P;TUR;N;19;D;N;Cru;Ace;0
Oğuzhan Doğan;P;TUR;N;25;E;N;Arm;Res;0
Ali Demirel;A;TUR;N;23;D;N;Chu;Vel;0
İbrahim Burak Işık;A;TUR;N;19;D;N;Cab;For;0
Sinan Kurumuş;A;TUR;N;32;E;S;Fin;Res;0
Turan Calhanoglu;A;DEU;N;22;D;N;Chu;Imp;0
