Athletico Paranaense;BRA;85;Ligga Arena;Odair Hellmann;BRA;D01119;000000;42000
Mycael;G;BRA;N;22;E;N;Sgo;Fri;0
Santos;G;BRA;N;36;D;S;Sgo;Imp;0
Gastón Benavídez;L;ARG;N;30;D;S;Des;Vel;0
Gilberto;L;BRA;N;33;D;N;Pas;Agi;0
Gilberto Junior;L;BRA;N;21;D;N;Des;Vel;0
Lucas Esquivel;L;ARG;N;24;E;S;Cru;Vel;0
Léo Derik;L;BRA;N;21;E;N;Des;Vel;0
Arthur Dias;Z;BRA;N;19;E;S;Cab;For;0
Carlos Terán;Z;COL;N;25;D;N;Ant;Res;0
Dantas;Z;BRA;N;22;D;N;Pos;Con;0
Felipe Aguirre;Z;COL;N;29;D;S;Ant;Imp;4
Léo;Z;BRA;N;30;E;N;Mar;Con;0
Felipinho;V;BRA;N;24;E;N;Des;Agi;0
Jádson;V;BRA;N;32;D;S;Des;Vis;0
Luiz Gustavo;V;BRA;N;39;E;S;Pas;Con;4
Alejandro García;M;COL;N;25;D;N;Pas;Res;0
Bruno Zapelli;M;ARG;N;24;D;N;Pas;Cri;5
Chiqueti;M;BRA;N;20;A;N;Fin;Cri;0
Dudu;M;BRA;N;20;E;N;Fin;Vis;0
João Cruz;M;BRA;N;20;D;S;Pas;Res;0
Juan Portilla;M;COL;N;27;D;N;Pas;Res;0
Isaac;P;BRA;N;22;D;N;Dri;Vel;0
Kerwin Vargas;P;COL;N;24;D;N;Dri;Ace;0
Leozinho;P;BRA;N;27;E;N;Dri;Vel;0
Stiven Mendoza;P;COL;N;34;E;S;Arm;Vel;0
Jorge Rivaldo;A;COL;N;22;D;N;Cab;Imp;0
Kevin Viveros;A;COL;S;26;D;S;Fin;For;6
Nicolas Azambuja;A;URY;N;18;D;S;Fin;Res;0
Renan Peixoto;A;BRA;N;26;D;N;Fin;Res;0
Renan Viana;A;BRA;N;23;D;N;Fin;Res;0
