Philadelphia Union;USA;80;Subaru Park;Ryan Richter;USA;D8CAA2;041B2B;18500
Andre Blake;G;JAM;N;35;D;S;Ref;Fle;0
Andrew Rick;G;USA;N;20;D;N;Rbo;Con;0
George Marks;G;USA;N;26;D;N;Col;Con;0
Frankie Westfield;L;USA;N;20;D;S;Cru;Vel;0
Kai Wagner;L;DEU;N;29;E;N;Pos;Ace;0
Nathan Harriel;L;USA;N;25;D;S;Mar;Res;0
Philippe Ndinga;L;COG;N;21;D;N;Pas;Vel;0
Finn Sundstrom;Z;USA;N;19;D;N;Mar;Imp;0
Geiner Martínez;Z;COL;N;23;D;N;Cab;Imp;0
Japhet Sery Larsen;Z;DNK;N;26;D;S;Mar;Res;0
Kaiden Moore;Z;USA;N;19;D;N;Ant;Con;0
Neil Pierre;Z;USA;N;18;D;N;Mar;Vel;0
Danley Jean Jacques;V;HTI;N;26;D;S;Mar;Agi;0
Jesús Bueno;V;VEN;N;27;D;N;Ant;For;0
Alejandro Bedoya;M;USA;N;39;D;N;Fin;Agi;0
Ben Bender;M;USA;N;25;D;N;Arm;Cri;0
Cavan Sullivan;M;USA;N;16;E;S;Chu;Res;0
Jeremy Rafanello;M;USA;N;26;D;N;Pas;Res;0
Jovan Lukić;M;SRB;N;24;D;S;Chu;Vis;2
Quinn Sullivan;M;USA;N;22;D;N;Pas;Fri;0
Agustín Anello;P;USA;N;24;D;N;Dri;Vel;0
Indiana Vassilev;P;USA;N;25;E;S;Dri;Cri;0
Bruno Damiani;A;URY;N;24;E;S;Pas;Vel;0
Eddy Davis III;A;USA;N;20;D;N;Fin;Res;0
Ezekiel Alladoh;A;GHA;N;20;E;S;Dri;Vel;0
Malik Jakupović;A;USA;N;17;D;N;Fin;Vel;0
Milan Iloski;A;USA;N;26;D;S;Fin;Fri;0
Sal Olivas;A;USA;N;20;D;N;Cab;Imp;0
Stas Korzeniowski;A;USA;N;23;D;N;Cab;Imp;0
