Frosinone;ITA;81;Benito Stirpe;Massimiliano Alvini;ITA;FFDD00;004393;16000
Lorenzo Palmisani;G;ITA;N;22;D;S;Ref;Con;0
Matteo Pisseri;G;ITA;N;34;D;N;Col;Con;0
Aleksa Terzić;L;SRB;N;27;E;N;Cru;Vel;0
Anthony Oyono;L;GAB;N;25;D;S;Cru;Res;0
Enzo Tchato;L;CMR;N;23;D;N;Pas;Agi;0
Gabriele Bracaglia;L;ITA;N;23;E;S;Des;Res;0
Gabriele Calvani;Z;ITA;N;22;D;S;Cab;Res;0
Giorgio Cittadini;Z;ITA;N;24;D;S;Des;Con;0
Ilario Monterisi;Z;ITA;N;24;D;S;Pos;Res;0
Kevin Akpoguma;Z;NGA;N;31;D;N;Pos;Vel;0
Omar Fayed;Z;EGY;N;23;D;N;Des;For;0
Wisdom Amey;Z;ITA;N;21;D;N;Pos;Vel;0
Anouar El Azzouzi;V;MAR;N;25;D;N;Chu;Res;0
Florian Grillitsch;V;AUT;N;31;D;N;Pas;Vis;0
Giacomo Calò;V;ITA;N;29;D;S;Pas;Vis;0
Matteo Cichella;V;ITA;N;20;D;S;Pas;Res;0
Alessio Zerbin;M;ITA;N;27;D;N;Arm;Res;0
Ben Lhassine Kone;M;CIV;N;26;E;N;Pas;Agi;0
Francesco Gelli;M;ITA;N;29;D;N;Arm;Agi;0
Ilias Koutsoupias;M;GRC;N;25;D;N;Fin;Res;0
Luis Hasa;M;ALB;N;22;D;N;Arm;Vis;0
Patrizio Masini;M;ITA;N;25;D;N;Pas;Res;0
Romano Schmid;M;AUT;N;26;D;S;Pas;Fri;0
Farès Ghedjemis;P;FRA;S;23;E;N;Fin;Ace;0
Giorgi Kvernadze;P;GEO;N;23;D;S;Arm;Vel;0
Seydou Fini;P;ITA;N;20;E;N;Dri;Ace;0
Alejandro Cichero;A;VEN;N;20;D;N;Cab;For;0
Antonio Raimondo;A;ITA;N;22;E;S;Fin;Vel;0
Daniel Bîrligea;A;ROU;N;26;D;N;Fin;Res;0
Tomas Bobcek;A;SVK;N;24;D;N;Fin;Imp;0
