Leixões;PRT;69;Estádio do Mar;Carlos Fangueiro;PRT;B01117;FFFFFF;6000
Caio Secco;G;BRA;N;35;D;N;Col;Imp;0
Igor Stefanović;G;SRB;N;38;D;S;Col;Imp;0
João Cardoso;G;PRT;N;22;D;N;Col;Imp;0
Simão;G;BRA;N;33;D;N;Col;Con;0
Fernando Fonseca;L;PRT;N;29;D;N;Mar;For;0
Paulinho;L;PRT;N;35;D;S;Pas;Res;0
Serif Nhaga;L;PRT;N;20;E;S;Cru;Vel;0
Simãozinho;L;PRT;N;31;E;S;Des;Res;0
Alysson;Z;BRA;N;23;D;N;Des;For;0
Hugo Basto;Z;PRT;N;33;D;N;Pos;Con;0
Hugo Faria;Z;PRT;N;22;D;N;Pos;Con;0
Lourenço;Z;PRT;N;22;D;S;Des;For;0
Matheus Costa;Z;BRA;N;31;D;S;Pos;Con;0
Semeu Commey;Z;GHA;N;22;D;N;Cab;Imp;0
João Assunção;V;PRT;N;22;D;N;Mar;Con;0
Amadu Baldé;M;GNB;N;21;D;S;Pas;Agi;0
Cláudio Araújo;M;PRT;N;23;D;S;Pas;Res;0
Miguel Sousa;M;PRT;N;27;D;N;Pas;Agi;0
Rafael Barbosa;M;PRT;N;30;D;N;Arm;Vis;0
Rúben Pina;P;CPV;N;26;D;N;Dri;Vel;0
Salvador Agra;P;PRT;N;34;D;S;Arm;Res;0
Bica;A;PRT;N;23;D;S;Fin;Fri;0
Bryan Róchez;A;HND;N;31;D;S;Fin;For;0
Kaique;A;BRA;N;22;D;N;Chu;Res;0
Luccas Paraizo;A;BRA;N;24;D;N;Fin;Fri;0
Morufdeen Moshood;A;NGA;N;22;D;N;Dri;Vel;0
