Manauara;BRA;52;Estádio da Colina;Paulinho Kobayashi;BRA;ED431F;F7F7F7;10000
Guilherme Boer;G;BRA;N;27;D;S;Ref;Con;0
Matheus;G;BRA;N;26;D;N;Ref;Fle;0
Arthur Gomes;L;BRA;N;20;E;N;Pos;Res;0
Caio Ribeiro;L;BRA;N;29;E;S;Cru;For;0
Fabrício;L;BRA;N;29;D;S;Cru;Res;0
Wesley;L;BRA;N;28;D;N;Pas;For;0
Felipe Camargo;Z;BRA;N;27;E;N;Des;For;0
Maicon;Z;BRA;N;31;D;S;Pos;Con;0
Paulinho;Z;BRA;N;29;D;S;Mar;Con;0
Éverson;Z;BRA;N;29;E;S;Cab;Imp;0
Giba;V;BRA;N;31;D;S;Des;Vis;0
Juninho;V;BRA;N;26;D;N;Des;Con;0
Paulo Matheus;V;BRA;N;27;E;N;Pas;Con;0
Falcão;M;BRA;N;25;E;N;Arm;Vis;0
Luis Fernando;M;BRA;N;28;D;S;Pas;Res;0
Pablo Pardal;M;BRA;N;27;D;N;Arm;Vis;0
David;P;BRA;N;23;A;N;Fin;Res;0
Fabrício Pereira;P;BRA;N;28;D;N;Fin;Res;0
Quadrado;P;BRA;N;31;E;S;Dri;Agi;0
Clessione;A;BRA;N;32;E;S;Fin;Fri;0
Paulo Galvão;A;BRA;N;21;D;N;Fin;For;0
Rafael Ibiapino;A;BRA;N;34;D;S;Fin;Imp;0
