Virtus Entella;ITA;70;Enrico Sannazzari;Andrea Chiappella;ITA;FCFCFC;C6E4E6;5500
Edoardo Torrielli;G;ITA;N;19;D;N;Col;Con;0
Federico Del Frate;G;ITA;N;30;E;N;Col;Imp;0
Simone Colombi;G;ITA;N;35;D;S;Ref;Fle;0
Luca Vignali;L;ITA;N;30;D;N;Des;Res;0
Mattia Alborghetti;L;ITA;N;27;D;S;Des;Res;0
Nicolas Previtali;L;ITA;N;21;D;N;Mar;For;0
Riccardo Turicchia;L;ITA;N;23;E;N;Pas;Agi;0
Andrea Tiritiello;Z;ITA;N;31;D;S;Cab;Imp;0
Ivan Marconi;Z;ITA;N;36;E;S;Cab;Con;0
Luca Parodi;Z;ITA;N;31;D;S;Pos;Con;0
Mattia Motolese;Z;ITA;N;22;E;N;Pos;Con;0
Lucas Felippe;V;BRA;N;26;E;S;Pas;Vis;0
Niccolò Squizzato;V;ITA;N;24;D;S;Pas;Vis;0
Andrea Franzoni;M;ITA;N;29;D;S;Fin;Res;0
Davide Bariti;M;ITA;N;34;E;N;Pas;Cri;0
Francesco Mezzoni;M;ITA;N;26;D;S;Arm;Res;0
Gabriele Costa;M;ITA;N;21;D;N;Pas;Res;0
Leonardo Benedetti;M;ITA;N;26;D;N;Pas;Res;0
Mattia Valori;M;ITA;N;21;D;N;Pas;Agi;0
Stefano Di Mario;M;ITA;N;21;E;S;Pas;Res;0
Andrea Traniello;P;ITA;N;19;D;N;Pas;Agi;0
Bernat Guiu;A;ESP;N;25;A;S;Pas;Fri;0
Francesco Forte;A;ITA;N;33;E;N;Fin;For;0
Giacomo Corona;A;ITA;N;22;D;N;Cab;Imp;0
Luigi Cuppone;A;ITA;N;28;D;N;Fin;Vel;0
Mattia Tirelli;A;ITA;N;24;D;N;Fin;Res;0
