Farense;PRT;70;Estádio de São Luís;José Faria;PRT;000000;FFFFFF;7000
Brian Araújo;G;PRT;N;26;D;S;Ref;Fri;0
Fabijan Buntic;G;HRV;N;29;E;N;Col;Con;0
Jakob Tånnander;G;SWE;N;25;E;N;Col;Imp;0
Miguel Carvalho;G;PRT;N;30;D;N;Ref;Fle;0
Alex Pinto;L;PRT;N;28;D;N;Des;For;0
Derick Poloni;L;BRA;N;32;E;S;Cru;Res;0
Dário Miranda;L;PRT;N;23;D;N;Pos;Agi;0
Fran Delgado;L;ESP;N;25;D;N;Cru;Vel;0
Lucas D'Agrella;L;PRT;N;21;D;N;Mar;Agi;0
Toni Herrero;L;ESP;N;25;E;S;Pos;Res;0
Gonçalo Silva;Z;PRT;N;35;D;S;Pos;Con;0
Matheus Rodrigues;Z;BRA;N;22;D;N;Pos;Imp;0
Nermin Zolotic;Z;BIH;N;33;E;S;Des;For;0
Rodrigo Borges;Z;PRT;N;27;E;N;Cab;Imp;0
Claudio Falcão;V;BRA;N;32;D;S;Chu;Res;0
Geo Almeida;M;PRT;N;22;D;N;Pas;Vis;0
Joseph Nduquidi;M;AGO;N;21;D;S;Chu;Vis;0
Mattheus;M;BRA;N;32;E;N;Pas;Vis;0
Miguel Menino;M;PRT;N;23;D;S;Chu;Vis;0
Rafinha;M;PRT;N;20;E;N;Pas;Agi;0
Sarpreet Singh;M;NZL;N;27;E;N;Arm;Vis;0
André Candeias;P;PRT;N;23;D;S;Fin;Ace;0
Marco Matias;P;PRT;N;37;D;S;Arm;Cri;0
Cuba;A;PRT;N;23;D;N;Fin;Vel;0
Gabriel Barbosa;A;BRA;N;27;D;N;Fin;For;0
João Gastão;A;AGO;N;20;D;S;Fin;Vel;0
João Resende;A;PRT;N;23;D;N;Fin;Vel;0
Leonardo Oliveira;A;SWE;N;21;D;N;Fin;Vel;0
