Fluminense;BRA;86;Maracanã;Marcão;BRA;007542;7A001F;78500
Fábio;G;BRA;S;45;D;S;Col;Con;0
Vitor Eudes;G;BRA;N;27;D;N;Ref;Fle;0
Guga;L;BRA;N;27;D;S;Pos;Vel;0
Guilherme Arana;L;BRA;S;29;E;S;Pas;Res;0
Julio Fidelis;L;BRA;N;19;D;N;Pos;Vel;0
Renê;L;BRA;N;33;E;N;Pas;Ace;0
Samuel Xavier;L;BRA;N;36;D;N;Pas;Res;0
Ignácio;Z;BRA;N;29;D;N;Des;Con;0
Igor Rabello;Z;BRA;N;31;D;N;Cab;For;0
Jemmes;Z;BRA;N;26;D;S;Des;Res;0
Julián Millán;Z;COL;N;28;E;N;Des;For;0
Pablo Freytes;Z;ARG;N;26;E;S;Pos;For;0
Thiago Silva;Z;BRA;S;41;D;N;Pos;Con;4
Hércules;V;BRA;N;25;D;S;Ant;Con;0
Martinelli;V;BRA;N;24;D;S;Pas;For;0
Nonato;V;BRA;N;28;D;N;Des;For;0
Otávio;V;BRA;N;32;D;N;Des;For;0
Alisson;M;BRA;N;33;D;N;Pas;Vis;0
Ganso;M;BRA;S;36;E;N;Arm;Vis;5
Jefferson Savarino;M;VEN;N;29;D;S;Chu;Agi;0
Luciano Acosta;M;ARG;N;32;D;S;Dri;Vis;0
Agustín Canobbio;P;URY;N;27;D;S;Fin;Res;0
Kevin Serna;P;COL;N;28;D;N;Dri;Vel;0
Matheus Reis;P;MEX;N;19;D;N;Pas;Vel;0
Riquelme;P;BRA;N;19;E;N;Dri;Vel;0
Yeferson Soteldo;P;VEN;N;29;D;N;Dri;Vel;0
Germán Cano;A;ARG;N;38;D;N;Fin;Fri;0
Hulk;A;BRA;S;40;E;N;Chu;For;3
John Kennedy;A;BRA;N;24;D;S;Fin;Vel;0
Rodrigo Castillo;A;ARG;N;27;D;N;Cab;Imp;0
