Flamengo;BRA;90;Maracanã;Leonardo Jardim;PRT;C52613;000000;78500
Agustín Rossi;G;ARG;N;31;D;S;Rbo;Fri;0
Andrew;G;BRA;N;25;D;N;Ref;Imp;0
Dyogo Alves;G;BRA;N;22;D;N;Col;Fle;0
Alex Sandro;L;BRA;N;35;E;S;Pas;For;4
Ayrton Lucas;L;BRA;N;29;E;N;Pas;Ace;0
Emerson Royal;L;BRA;N;27;D;S;Pas;Res;0
Guillermo Varela;L;URY;N;33;D;S;Pas;Ace;0
Danilo;Z;BRA;S;35;D;N;Pos;Con;4
João Victor;Z;BRA;N;19;D;N;Mar;Res;0
Léo Ortiz;Z;BRA;N;30;D;S;Cab;Imp;0
Léo Pereira;Z;BRA;N;30;E;S;Pos;Con;3
Vitão;Z;BRA;N;26;D;N;Mar;Vel;0
Erick Pulgar;V;CHL;N;32;D;S;Mar;For;0
Evertton Araújo;V;BRA;N;23;D;N;Mar;Agi;0
Jorginho;V;ITA;S;34;D;S;Pas;Vis;2
Arrascaeta;M;URY;S;32;D;N;Arm;Vis;5
Jorge Carrascal;M;COL;N;28;D;S;Dri;Agi;0
Lorran;M;BRA;N;20;E;N;Dri;Cri;0
Lucas Paquetá;M;BRA;S;29;E;N;Chu;Cri;5
Nicolás de la Cruz;M;URY;N;29;D;N;Chu;Vis;0
Saúl Ñíguez;M;ESP;N;31;E;N;Pas;Res;0
Anthony Valencia;P;ECU;N;23;E;N;Dri;Res;0
Everton Cebolinha;P;BRA;N;30;D;N;Dri;Vel;0
Gonzalo Plata;P;ECU;N;25;E;S;Dri;Vel;0
Luiz Araújo;P;BRA;N;30;E;N;Fin;Agi;0
Samuel Lino;P;BRA;N;26;D;S;Pas;Agi;0
Bruno Henrique;A;BRA;S;35;D;N;Fin;Vel;0
Joaquín Freitas;A;ARG;N;19;D;N;Fin;Vel;0
Pedro;A;BRA;S;29;D;S;Fin;Fri;6
Wallace Yan;A;BRA;N;21;D;N;Pas;Vel;0
