Boston River;URY;75;Campeones Olímpicos de Florida;Ignacio Ithurralde;URY;056B31;70000D;5000
Bruno Antúnez;G;URY;N;23;D;S;Ref;Fle;0
Juan González;G;URY;N;33;D;N;Col;Con;0
Santiago Silva;G;URY;N;27;D;N;Ref;Con;0
Facundo Saravia;L;URY;N;23;E;N;Pos;Agi;0
Fredy Martínez;L;URY;N;25;E;S;Cru;Vel;0
Jairo O'Neil;L;URY;N;25;E;N;Pas;Agi;0
Juan Acosta;L;URY;N;32;D;S;Mar;For;0
Lautaro Vázquez;L;URY;N;20;D;N;Mar;Agi;0
Agustín Aguirre;Z;ARG;N;22;E;N;Pos;Vel;0
Ignacio Fernandez;Z;URY;N;17;E;S;Des;Res;0
Marco Mancebo;Z;URY;N;25;D;N;Ant;Con;0
Martín González;Z;URY;N;32;D;S;Cab;Imp;0
Mateo Rivero;Z;URY;N;21;D;S;Des;Con;0
Rodrigo Saravia;V;URY;N;25;D;N;Des;Res;0
Agustín Amado;M;URY;N;25;D;S;Pas;Res;0
Andrés Romero;M;VEN;N;23;D;N;Chu;Vis;0
Facundo Muñoa;M;URY;N;22;E;S;Pas;Agi;0
Gastón Ramírez;M;URY;N;35;E;N;Arm;Cri;0
Yair González;M;ARG;N;24;D;S;Dri;Agi;0
Franco Pérez;P;URY;N;25;E;N;Dri;Vel;0
Leandro Suhr;P;URY;N;28;D;S;Cru;Vel;0
Leo Suárez;P;ARG;N;30;E;N;Fin;Vel;0
Alexander González;A;URY;N;23;D;N;Fin;For;0
Brayan Alcocer;A;VEN;N;22;D;N;Pas;Res;0
Facundo Rodríguez;A;URY;N;30;E;N;Fin;Fri;0
Felipe Avenatti;A;URY;N;33;E;N;Cab;For;0
Francisco Bonfiglio;A;ARG;N;24;D;S;Fin;Vel;0
Nicolás Siri;A;URY;N;22;D;N;Pas;Vel;0
