Cerro Porteño;PRY;81;General Pablo Rojas;Ariel Holan;ARG;A31017;000921;45000
Manuel Roffo;G;ARG;N;26;D;S;Rbo;Con;0
Roberto Fernández;G;PRY;N;38;D;N;Col;Fle;0
Blas Riveros;L;PRY;N;28;E;N;Pas;Agi;0
Fabricio Domínguez;L;URY;N;28;D;S;Pos;Res;0
Guillermo Benítez;L;ARG;N;32;E;N;Pos;Ace;0
Iván Ramírez;L;PRY;N;31;D;N;Cru;Agi;0
Marcelo Chaparro;L;PRY;N;19;E;S;Mar;Vel;0
Abel Luciatti;Z;ARG;N;33;E;N;Cab;For;0
Alexis Cañete;Z;PRY;N;22;D;N;Des;Con;0
Gustavo Velázquez;Z;PRY;N;35;D;S;Ant;Imp;0
Lucas Merolla;Z;ARG;N;31;E;N;Des;Con;0
Lucas Quintana;Z;PRY;N;21;D;S;Ant;Vel;0
Ariel Gamarra;V;PRY;N;23;D;N;Pas;For;0
Gastón Giménez;V;PRY;N;35;E;N;Chu;Agi;0
Jorge Morel;V;PRY;N;28;D;S;Ant;Con;0
Piris da Motta;V;PRY;N;32;D;S;Des;Con;0
Agustín Almendra;M;ARG;N;26;D;N;Chu;Agi;0
Amín Cristaldo;M;PRY;N;19;D;N;Pas;Res;0
Carlos Franco;M;PRY;N;18;D;N;Pas;Res;0
Cesar Bobadilla;M;PRY;N;19;D;S;Arm;Cri;0
Cristhian Paredes;M;PRY;N;28;D;N;Dri;Res;0
Mateo Klimowicz;M;DEU;N;26;D;N;Dri;Res;0
Cecilio Domínguez;P;PRY;N;32;D;S;Cru;Agi;0
Gabriel Aguayo;P;PRY;N;21;D;N;Pas;Vel;0
Ignacio Aliseda;P;ARG;N;26;E;N;Pas;Vel;0
Santiago Mosquera;P;COL;N;31;D;N;Pas;Cri;0
Jonatan Torres;A;ARG;N;29;D;S;Cab;Res;0
Juan Iturbe;A;PRY;N;33;E;N;Chu;Fri;0
Pablo Vegetti;A;ARG;N;37;D;S;Cab;Imp;6
Sergio Araujo;A;ARG;N;34;D;N;Dri;Vel;0
