Porto;PRT;90;Estádio do Dragão;Francesco Farioli;ITA;0037EB;FFFFFF;50000
Cláudio Ramos;G;PRT;N;34;D;N;Rbo;Con;0
Diogo Costa;G;PRT;S;26;D;S;Ref;Con;1
João Afonso;G;PRT;N;19;D;N;Ref;Con;0
Alberto Costa;L;PRT;N;22;D;S;Des;Vel;0
Francisco Moura;L;PRT;N;26;E;N;Pas;Vel;0
Martim Fernandes;L;PRT;N;20;D;N;Cru;Agi;0
Souza;L;BRA;N;20;E;N;Des;Agi;0
Zaidu Sanusi;L;NGA;N;29;E;N;Cru;Ace;0
Dominik Prpić;Z;HRV;N;22;E;N;Des;For;0
Jakub Kiwior;Z;POL;S;26;E;S;Des;For;0
Jan Bednarek;Z;POL;N;30;D;S;Cab;Imp;0
Nehuén Pérez;Z;ARG;N;26;D;N;Cab;For;0
Alan Varela;V;ARG;N;25;D;S;Pas;Con;0
In-beom Hwang;V;KOR;N;29;A;N;Ant;For;0
Pablo Rosario;V;DOM;N;29;D;S;Ant;For;0
Gabri Veiga;M;ESP;N;24;D;S;Arm;Vis;5
Iván Jaime;M;ESP;N;25;D;N;Arm;Cri;0
Seko Fofana;M;CIV;N;31;D;N;Chu;Agi;0
Vasco Sousa;M;PRT;N;23;D;N;Pas;Vis;0
Victor Froholdt;M;DNK;N;20;D;S;Pas;Agi;0
Borja Sainz;P;ESP;N;25;D;S;Dri;Agi;0
Gabriel Veron;P;BRA;N;23;D;N;Dri;Ace;0
Oskar Pietuszewski;P;POL;N;18;D;N;Dri;Agi;0
Pepê;P;BRA;N;29;D;S;Arm;Agi;0
William Gomes;P;BRA;N;20;E;N;Fin;Ace;0
André Silva;A;PRT;N;30;D;N;Fin;For;0
Samu Aghehowa;A;ESP;N;22;D;S;Fin;Vel;6
Santiago Gimenez;A;MEX;N;25;E;N;Fin;Fri;0
