Genclerbirligi;TUR;77;Eryaman Stadyumu;Metin Diyadin;TUR;DA291C;000000;20000
Berk Deniz Çukurcu;G;TUR;N;18;D;N;Ref;Imp;0
Gökhan Akkan;G;TUR;N;31;D;N;Rbo;For;0
İrfan Can Eğribayat;G;TUR;N;28;D;S;Ref;Fle;0
Abdurrahim Dursun;L;TUR;N;27;E;S;Cru;Res;0
Berat Can Sebat;L;TUR;N;22;D;N;Mar;Vel;0
Emirhan Ünal;L;TUR;N;21;D;N;Pas;Vel;0
Fıratcan Üzüm;L;TUR;N;27;D;N;Mar;For;0
Hamza Aydar;L;TUR;N;17;E;N;Pas;Agi;0
Kévin Rodrigues;L;PRT;N;32;E;N;Cru;Vel;0
Pedro Pereira;L;PRT;N;28;D;S;Pas;Ace;0
Arda Çağan Çelik;Z;TUR;N;21;D;N;Mar;Res;0
Dimitrios Goutas;Z;GRC;N;32;D;S;Pos;Res;0
Ensar Çavuşoğlu;Z;TUR;N;24;D;N;Pos;For;0
Metehan Baltacı;Z;TUR;N;23;D;N;Mar;Imp;0
Thalisson;Z;BRA;N;28;D;N;Mar;Vel;0
Zan Zuzek;Z;SVN;N;29;D;S;Ant;For;0
Cheikh Niasse;V;SEN;N;26;D;N;Des;For;0
Ousmane Diabate;V;GIN;N;18;D;S;Ant;Res;0
Peter Etebo;V;NGA;N;30;D;N;Mar;For;0
Ensar Kemaloğlu;M;TUR;N;27;D;S;Chu;Vis;0
Franco Tongya;M;ITA;N;24;D;S;Dri;Cri;0
Göktuğ Erdem;M;TUR;N;22;D;N;Fin;Cri;0
Oğulcan Ülgün;M;TUR;N;28;D;S;Arm;Fri;0
Salih Uçan;M;TUR;N;32;D;N;Chu;Cri;0
Adama Traoré;P;MLI;N;31;E;S;Dri;Agi;0
Dilhan Demir;P;DEU;N;23;E;N;Cru;Ace;0
Tiago Gouveia;P;PRT;N;25;D;N;Fin;Cri;0
Arda Akgül;A;TUR;N;21;D;N;Fin;For;0
Ayaz Özcan;A;TUR;N;16;D;N;Dri;Vel;0
Sékou Koïta;A;MLI;N;26;E;S;Dri;Fri;0
