Al-Taawoun;SAU;74;Al-Taawoun Club Stadium;Zarko Lazetic;SRB;F5D903;022A68;5500
Abdullah Al-Jadani;G;SAU;N;35;D;N;Ref;For;0
Abdulrahman Al-Ghamdi;G;SAU;N;20;D;N;Ref;Con;0
Mailson;G;BRA;N;30;D;S;Ref;Fle;1
Adeeb Al-Hassan;L;SAU;N;21;D;N;Pos;Agi;0
Bassam Al-Hurayji;L;SAU;N;26;D;S;Des;Agi;0
Muteb Al-Mufarrij;L;SAU;N;30;E;S;Des;For;0
Turki Al-Jaadi;L;SAU;N;23;E;N;Des;For;0
Awn Al-Saluli;Z;SAU;N;27;D;N;Des;Imp;0
Jair Collahuazo;Z;ECU;N;20;E;N;Ant;Vel;0
Moustapha Sémbène;Z;SEN;N;20;D;N;Mar;For;0
Nawaf Al-Huwairi;Z;SAU;N;17;D;N;Pos;Con;0
Zineddine Belaid;Z;DZA;N;27;D;S;Des;For;0
Aschraf El Mahdioui;V;MAR;N;30;A;S;Pas;Vis;0
Abdulrahman Hendi;M;SAU;N;23;D;N;Arm;Agi;0
Mohammed Al-Saedi;M;SAU;N;20;D;N;Pas;Vis;0
Nedim Bajrami;M;ALB;N;27;D;S;Arm;Agi;0
Oscar;M;LBR;N;28;E;N;Pas;Agi;0
Rakan Al-Tulayhi;M;SAU;N;23;E;S;Arm;Fri;0
Al-Kuwaykibi;P;SAU;N;31;E;S;Arm;Cri;0
Fahad Al-Rashidi;P;SAU;N;29;D;N;Fin;Vel;0
Marin Petkov;P;BGR;N;22;E;S;Fin;Vel;0
Mohammed Al-Aqel;P;SAU;N;26;D;N;Arm;Vel;0
Parfait Guiagon;P;CIV;N;25;D;N;Dri;Agi;0
Saif Rajab;P;SAU;N;21;D;N;Pas;Vel;0
Abderrazak Hamdallah;A;MAR;N;35;D;S;Fin;Imp;0
Bassem Al-Arini;A;SAU;N;22;D;N;Fin;Vel;0
Younes El Bahraoui;A;MAR;N;21;D;S;Chu;Vel;0
