Dínamo Moscou;RUS;79;VTB-Arena;Sandro Schwarz;DEU;FFFFFF;224DA4;25500
Andrey Lunev;G;RUS;N;34;D;N;Ref;Fri;0
Igor Leshchuk;G;RUS;N;30;E;N;Sgo;Fle;0
Kurban Rasulov;G;RUS;N;20;D;S;Rbo;For;0
Bakhtiyor Zaynutdinov;L;KAZ;N;28;E;N;Pos;Agi;0
Dmitriy Skopintsev;L;RUS;N;29;E;N;Cru;For;0
Juan Cáceres;L;PRY;N;26;D;S;Mar;For;3
Leon Zaydenzal;L;RUS;N;22;D;N;Pos;Res;0
Rubens;L;BRA;N;25;E;N;Pos;For;0
David Ricardo;Z;BRA;N;23;E;S;Pos;Con;0
Maksim Osipenko;Z;RUS;N;32;D;S;Cab;For;0
Milan Majstorovic;Z;SRB;N;21;D;N;Cab;Imp;0
Nicolás Marichal;Z;URY;N;25;D;N;Des;For;0
Roberto Fernández;Z;PRY;N;26;E;N;Des;Res;0
Aleksandr Kutitskiy;V;RUS;N;24;D;N;Mar;Con;0
Daniil Fomin;V;RUS;N;29;D;S;Chu;For;0
Danil Glebov;V;RUS;N;26;D;N;Mar;Res;0
Luis Chávez;V;MEX;N;30;E;N;Chu;Vis;0
Anton Miranchuk;M;RUS;N;30;D;N;Chu;Cri;0
Bitello;M;BRA;N;26;D;S;Dri;Fri;0
Luka Gagnidze;M;GEO;N;23;D;N;Chu;Vis;0
Timofey Marinkin;M;RUS;N;18;E;S;Dri;Agi;0
Viktor Okishor;M;RUS;N;19;D;N;Chu;Fri;0
Arthur Gomes;P;BRA;N;28;D;S;Dri;Vel;0
Matheus Martins;P;BRA;N;23;D;S;Pas;Vel;0
Ulvi Babaev;P;RUS;N;22;A;N;Cru;Vel;0
Yaroslav Gladyshev;P;RUS;N;23;E;N;Cru;Cri;0
Ivan Sergeev;A;RUS;N;31;D;N;Chu;Fri;0
Tyukavin;A;RUS;N;24;D;S;Fin;Res;6
