Getafe;ESP;84;Coliseum;José Bordalás;ESP;0000FF;FFFFFF;16500
David Soria;G;ESP;N;33;D;S;Ref;Con;0
Jiri Letacek;G;CZE;N;27;D;N;Ref;Fri;0
Andrés García;L;ESP;N;23;D;N;Cru;Agi;0
Davinchi;L;ESP;N;18;E;N;Pos;Vel;0
Johan Mojica;L;COL;N;33;E;N;Cru;Vel;0
Kiko Femenía;L;ESP;N;35;D;S;Pas;Vel;0
Abdel Abqar;Z;MAR;N;27;D;S;Des;For;0
Dakonam Djené;Z;TGO;N;34;D;S;Mar;Con;0
Jean Ives Valou;Z;CIV;N;20;E;N;Ant;For;0
Saba Sazonov;Z;GEO;N;24;D;N;Des;Imp;0
Sebastián Boselli;Z;URY;N;22;D;N;Mar;Vel;0
Zaid Romero;Z;ARG;N;26;E;N;Ant;Imp;0
Mario Martín;V;ESP;N;22;D;S;Des;Con;0
Nemanja Gudelj;V;SRB;N;34;D;N;Chu;Con;0
Orel Mangala;V;BEL;N;28;D;N;Pas;Con;0
Yvan Neyou;V;CMR;N;29;D;N;Mar;For;0
Francho Serrano;M;ESP;N;24;D;N;Pas;Res;0
Javi Muñoz;M;ESP;N;31;D;S;Pas;Vis;0
Ramón Terrats;M;ESP;N;25;E;S;Fin;Agi;0
Juanmi;P;ESP;N;33;D;S;Fin;Agi;0
Borja Mayoral;A;ESP;N;29;D;S;Fin;Res;0
Christantus Uche;A;NGA;N;23;A;N;Dri;Imp;0
Enes Ünal;A;TUR;N;29;D;S;Chu;Vel;0
Iván Azón;A;ESP;N;23;D;N;Fin;For;0
Martín Satriano;A;URY;N;25;D;S;Fin;For;0
