Serra Branca;BRA;48;Amigão;Teco;BRA;FFFFFF;104170;19000
Allan;G;BRA;N;29;D;N;Ref;Con;0
Bruno Fuso;G;BRA;N;38;D;S;Ref;Con;0
Thiago Torralba;G;BRA;N;25;D;N;Col;Imp;0
Bruno Oliveira;L;BRA;N;25;E;S;Cru;Res;0
Cesinha;L;BRA;N;32;D;S;Pas;For;0
Igor Nunes;L;BRA;N;29;D;S;Cru;Ace;0
Klayver;L;BRA;N;22;E;N;Pos;Res;0
Jadson;Z;BRA;N;33;E;S;Pos;Con;0
Uesles;Z;BRA;N;33;D;N;Mar;For;0
Vitão;Z;BRA;N;24;D;N;Cab;Imp;0
Clayton;V;BRA;N;27;D;S;Des;Con;0
Tibiri;V;BRA;N;30;D;N;Pas;Con;0
Dione;M;BRA;N;33;A;N;Chu;Vis;0
Júnior Dindê;M;BRA;N;31;D;S;Pas;Res;0
Kayan;M;BRA;N;25;D;S;Fin;Agi;0
Marquinhos;M;BRA;N;29;D;S;Pas;Vis;0
Rafinha;M;BRA;N;26;E;N;Arm;Vis;0
Jefferson Victor;P;BRA;N;29;E;S;Dri;Vel;0
Lucas Souza;P;BRA;N;32;D;N;Fin;Res;0
Orlando Júnior;P;BRA;N;28;D;N;Dri;Vel;0
Diego Ceará;A;BRA;N;33;D;S;Fin;Imp;0
Ezequiel;A;BRA;N;23;D;N;Fin;For;0
