Queens Park Rangers;ENG;76;Loftus Road Stadium;Julien Stéphan;FRA;0066FF;FFFFFF;18000
Calum Ward;G;ENG;N;25;D;N;Col;Con;0
Pierce Charles;G;NIR;N;21;D;S;Ref;Con;0
Boy Kemper;L;NLD;N;27;E;N;Des;For;0
Dennis Cirkin;L;ENG;N;23;E;N;Des;Agi;0
Esquerdinha;L;BRA;N;20;E;N;Pas;Agi;0
Jimmy Dunne;L;IRL;N;28;D;S;Pos;For;0
Kealey Adamson;L;AUS;N;23;D;N;Pos;Agi;0
Tariq Lamptey;L;GHA;N;25;D;N;Cru;Vel;0
Amadou Mbengue;Z;SEN;N;24;D;S;Des;Vel;0
Jake Clarke-Salter;Z;ENG;N;28;E;N;Ant;Con;0
Liam Morrison;Z;SCT;N;23;D;N;Pos;Imp;0
Ronnie Edwards;Z;ENG;N;23;D;N;Ant;Con;0
Jonathan Varane;V;MTQ;N;24;D;S;Des;For;0
Glen Kamara;M;FIN;N;30;D;N;Pas;Cri;0
Ilias Chair;M;MAR;N;28;D;N;Arm;Cri;0
Karamoko Dembélé;M;ENG;N;23;E;S;Arm;Agi;0
Nicolas Madsen;M;DNK;N;26;D;S;Pas;Vis;0
Harvey Vale;P;ENG;N;22;E;S;Pas;Agi;0
Koki Saito;P;JPN;N;24;D;S;Dri;Agi;0
Kwame Poku;P;GHA;N;24;E;N;Dri;Vel;0
Paul Smyth;P;NIR;N;28;D;S;Dri;Ace;0
Alfie Lloyd;A;ENG;N;23;D;N;Pas;Res;0
Justin Obikwu;A;TTO;N;22;A;N;Cab;Imp;0
Rayan Kolli;A;DZA;N;21;D;N;Dri;Vel;0
Richard Kone;A;CIV;N;23;D;S;Fin;For;0
Rumarn Burrell;A;JAM;N;25;D;S;Fin;Vel;0
