Newcastle;ENG;92;St James' Park;Matthias Jaissle;DEU;000000;FCFCFC;52000
Ewen Jaouen;G;FRA;N;20;D;N;Rbo;Con;0
Lukas Hornicek;G;CZE;N;23;D;N;Ref;Fle;0
Mark Gillespie;G;ENG;N;34;D;N;Col;Con;0
Nick Pope;G;ENG;N;34;D;S;Ref;Fle;0
Amar Dedić;L;BIH;N;23;D;N;Des;Vel;0
Lewis Hall;L;ENG;N;21;E;S;Cru;Agi;0
Tino Livramento;L;ENG;N;23;D;N;Pas;Agi;0
Dan Burn;Z;ENG;N;34;E;S;Cab;For;0
Fabian Schär;Z;CHE;N;34;D;S;Ant;Con;0
Malick Thiaw;Z;DEU;N;24;D;S;Cab;Imp;0
Sven Botman;Z;NLD;N;26;E;S;Ant;Imp;4
Aladji Bamba;V;FRA;N;19;D;N;Chu;Res;0
Joelinton;V;BRA;N;29;D;S;Des;For;3
Nico González;V;ESP;N;24;D;N;Pas;Vis;0
Jacob Ramsey;M;ENG;N;25;D;N;Pas;Agi;0
Joe Willock;M;ENG;N;26;D;N;Pas;Vis;0
Lewis Miley;M;ENG;N;20;D;S;Pas;Agi;0
Sean Steur;M;NLD;N;18;A;N;Pas;Res;0
Anthony Elanga;P;SWE;N;24;D;S;Fin;Cri;0
Bazoumana Touré;P;CIV;N;20;E;N;Dri;Cri;0
Harvey Barnes;P;ENG;N;28;D;S;Fin;Ace;0
Jacob Murphy;P;ENG;N;31;D;N;Fin;Cri;0
Matías Fernández-Pardo;P;ESP;N;21;D;N;Dri;Cri;0
William Osula;A;DNK;N;22;D;N;Chu;Imp;0
Yoane Wissa;A;COD;N;29;D;S;Cab;Imp;0
