Lazio;ITA;86;Olimpico di Roma;Gennaro Gattuso;ITA;DCECF2;FFFFFF;70500
Alessio Furlanetto;G;ITA;N;24;D;S;Col;Con;0
Edoardo Motta;G;ITA;N;21;D;N;Ref;Fri;0
Adam Marusic;L;MNE;N;33;D;S;Pas;Res;4
Alfonso Pedraza;L;ESP;N;30;E;S;Cru;Vel;0
Luca Pellegrini;L;ITA;N;27;E;S;Des;Agi;0
Manuel Lazzari;L;ITA;N;32;D;N;Cru;Ace;0
Mohamed Fares;L;DZA;N;30;E;N;Cru;For;0
Nuno Tavares;L;PRT;N;26;E;N;Cru;Vel;0
Alessio Romagnoli;Z;ITA;N;31;E;S;Ant;Con;0
Danilho Doekhi;Z;NLD;N;28;D;N;Mar;For;0
Josip Sutalo;Z;HRV;N;26;D;N;Mar;Vel;0
Oliver Provstgaard;Z;DNK;N;23;E;N;Cab;Imp;0
Patric;Z;ESP;N;33;D;N;Pos;Con;0
Danilo Cataldi;V;ITA;N;31;D;S;Ant;Con;0
Nicolò Rovella;V;ITA;N;24;D;N;Ant;Vis;0
Reda Belahyane;V;MAR;N;22;D;N;Pas;Agi;0
Adrian Przyborek;M;POL;N;19;D;N;Pas;Cri;0
Bruno Galassi;M;ESP;N;19;D;N;Pas;Vis;0
Davide Frattesi;M;ITA;N;26;D;N;Fin;Agi;0
Fisayo Dele-Bashiru;M;NGA;N;25;D;S;Dri;Res;0
Kenneth Taylor;M;NLD;N;24;E;N;Fin;Res;0
Valerio Farcomeni;M;ITA;N;20;D;N;Pas;Res;0
Gustav Isaksen;P;DNK;N;25;E;S;Fin;Vel;0
Matteo Cancellieri;P;ITA;N;24;E;S;Fin;Res;0
Mattia Zaccagni;P;ITA;N;31;D;S;Dri;Cri;0
Tijjani Noslin;P;NLD;N;27;D;N;Pas;Vel;0
Albert Gudmundsson;A;ISL;N;29;D;S;Dri;Fri;0
Andrea Pinamonti;A;ITA;N;27;D;N;Fin;For;0
Federico Serra;A;ITA;N;20;D;N;Fin;Imp;0
Petar Ratkov;A;SRB;N;22;D;N;Cab;For;0
