San Martín de Tucumán;ARG;61;La Ciudadela;Alejandro Orfila;URY;ED0000;FFFFFF;30500
Darío Sand;G;ARG;N;38;D;S;Sgo;Con;0
Juan Jaime;G;ARG;N;28;D;N;Ref;For;0
Nahuel Manganelli;G;ARG;N;25;D;N;Rbo;Con;0
Aníbal Paz;L;ARG;N;23;D;N;Cru;Res;0
Nahuel Gallardo;L;ARG;N;28;E;N;Des;Ace;0
Rodrigo Ayala;L;ARG;N;31;E;N;Des;For;0
Víctor Salazar;L;ARG;N;33;D;S;Cru;For;0
Ezequiel Parnisari;Z;ARG;N;36;D;S;Cab;Vel;0
Guillermo Rodríguez;Z;ARG;N;24;D;S;Mar;Con;0
Nicolás Ferreyra;Z;ARG;N;33;D;S;Des;For;0
Agustín Graneros;V;ARG;N;25;D;N;Mar;Vis;0
Laureano Rodríguez;V;ARG;N;23;D;S;Pas;Agi;0
Milton Ríos;V;ARG;N;22;E;N;Mar;Con;0
Santiago Briñone;V;ARG;N;29;D;S;Ant;Res;0
Alan Cisnero;M;ARG;N;22;D;S;Dri;Vis;0
Gabriel Carabajal;M;ARG;N;35;D;N;Arm;Vis;0
Kevin López;M;ARG;N;24;D;N;Arm;Res;0
Nicolás Castro;M;ARG;N;36;D;S;Pas;Fri;0
Gonzalo Rodríguez;P;ARG;N;35;D;N;Cru;Ace;0
Jorge Juárez;P;ARG;N;30;D;N;Dri;Agi;0
Matías García;P;ARG;N;34;E;N;Cru;Agi;0
Bruno Cabrera;A;ARG;N;23;D;N;Dri;For;0
Diego Diellos;A;ARG;N;32;D;S;Pas;For;0
Lautaro Ovando;A;ARG;N;23;D;N;Cab;Vel;0
Luca Arfaras;A;ARG;N;20;D;S;Chu;Fri;0
Mauro Verón;A;ARG;N;27;D;N;Pas;Vel;0
Nicolás Moreno;A;ARG;N;25;D;N;Pas;Imp;0
Tadeo Polli;A;ARG;N;21;D;N;Chu;Fri;0
Álvaro Veliez;A;ARG;N;31;D;N;Chu;Fri;0
