Avaí;BRA;70;Ressacada;Allan Aal;BRA;0C5AA8;FFFFFF;17500
Bruno;G;BRA;N;32;D;S;Ref;Imp;0
Igor Bohn;G;BRA;N;30;D;N;Ref;Con;0
Otávio;G;BRA;N;33;D;N;Col;Imp;0
Douglas Teixeira;L;BRA;N;25;E;S;Pas;Agi;0
Quaresma;L;BRA;N;29;E;N;Des;Vel;0
Wallison;L;BRA;N;24;D;S;Mar;For;0
Allyson;Z;BRA;N;35;D;S;Des;For;0
Gabriel Simples;Z;BRA;N;21;D;N;Mar;Imp;0
Guilherme Aquino;Z;BRA;N;22;D;S;Ant;Vel;0
Jefferson;Z;BRA;N;23;D;N;Pos;For;0
João Maistro;Z;BRA;N;25;D;N;Cab;Con;0
Pedrão;Z;BRA;N;22;D;N;Pos;For;0
Reynaldo;Z;BRA;N;29;E;N;Ant;Con;0
Jamerson;V;BRA;N;19;A;N;Des;For;0
Paulo Vitor;V;BRA;N;21;D;S;Mar;Agi;0
Vinicius Gugel;V;BRA;N;19;D;N;Ant;Con;0
Zé Ricardo;V;BRA;N;30;D;S;Pas;Vis;0
Daniel Penha;M;BRA;N;27;E;S;Arm;Cri;0
Hyan;M;BRA;N;22;D;N;Dri;Agi;0
Jean Lucas;M;BRA;N;31;D;S;Pas;Vis;0
Luiz Henrique;M;BRA;N;27;E;S;Pas;Vis;0
Pedro Cuiabá;M;BRA;N;24;D;N;Pas;Res;0
Romildo Del Piage;M;BRA;N;26;D;N;Chu;Vis;0
Wenderson;M;BRA;N;27;D;N;Fin;Res;0
Isaías;P;BRA;N;21;D;N;Cru;Vel;0
Juan Rocha;P;BRA;N;21;D;N;Pas;Ace;0
Léo Chú;P;BRA;N;26;E;N;Dri;Vel;0
Renanzinho;P;BRA;N;22;D;N;Fin;Agi;0
Thayllon;P;BRA;N;19;E;S;Dri;Agi;0
Léo Gamalho;A;BRA;N;40;D;N;Cab;For;0
