Lyon;FRA;88;Groupama Stadium;Paulo Fonseca;PRT;FFFFFF;003781;59000
Dominik Greif;G;SVK;N;29;D;S;Ref;Con;0
Lassine Diarra;G;MLI;N;23;D;N;Ref;For;0
Rémy Descamps;G;FRA;N;30;A;N;Sgo;For;0
Abner;L;BRA;N;26;E;S;Pas;Ace;0
Ainsley Maitland-Niles;L;ENG;N;28;D;S;Des;Vel;0
Mohamed Ouédraogo;L;BFA;N;23;E;N;Cru;Vel;0
Nicolás Tagliafico;L;ARG;N;33;E;S;Pas;Agi;0
Steeve Kango;L;FRA;N;19;D;N;Des;Agi;0
Zachary Athekame;L;CHE;N;21;D;N;Des;Ace;0
Clinton Mata;Z;AGO;N;33;D;S;Mar;Con;0
Felix Bacher;Z;AUT;N;25;D;N;Mar;Res;0
Moussa Niakhaté;Z;SEN;N;30;E;S;Mar;For;0
Noham Kamara;Z;FRA;N;19;D;N;Des;For;0
Ruben Kluivert;Z;NLD;N;25;D;N;Pos;Vel;0
Mads Bidstrup;V;DNK;N;25;D;N;Des;Res;0
Mathys De Carvalho;V;PRT;N;21;D;N;Chu;Con;0
Tanner Tessmann;V;USA;N;24;D;S;Mar;Con;0
Tyler Morton;V;ENG;N;23;D;S;Pas;For;0
Corentin Tolisso;M;FRA;S;31;D;S;Pas;Agi;0
Khalis Merah;M;FRA;N;19;D;N;Pas;Vis;0
Noah Nartey;M;DNK;N;20;D;N;Dri;Cri;0
Pavel Sulc;M;CZE;N;25;D;S;Chu;Res;0
Ernest Nuamah;P;GHA;N;22;E;S;Dri;Cri;0
Julien Duranville;P;BEL;N;20;D;N;Dri;Ace;0
Kaïl Boudache;P;DZA;N;20;E;N;Dri;Cri;0
Malick Fofana;P;BEL;N;21;D;N;Dri;Vel;0
Rémi Himbert;P;FRA;N;18;D;N;Fin;Agi;0
Loïs Openda;A;BEL;N;26;D;N;Chu;Res;0
