2 de Mayo;PRY;77;Río Parapití;Eduardo Ledesma;PRY;1E337C;FFFFFF;25000
Mario Ramirez;G;PRY;N;31;D;N;Ref;Fri;0
Nicolás Rossi;G;URY;N;28;D;S;Ref;For;0
Alberto Espínola;L;PRY;N;35;D;S;Des;Ace;0
César Castro;L;PRY;N;33;E;S;Mar;For;0
Rodrigo Gómez;L;PRY;N;20;D;N;Mar;Agi;0
Alexis Villalba;Z;PRY;N;27;D;N;Des;Con;0
Camilo Saiz;Z;COL;N;34;D;S;Pos;Con;0
César Ramírez;Z;PRY;N;22;E;N;Pos;Con;0
Pedro Sosa;Z;PRY;N;34;D;S;Mar;Res;0
Alejandro Delgadillo;V;PRY;N;19;D;N;Des;For;0
Marcos Gómez;V;PRY;N;24;D;N;Des;Con;0
Ángel Aguayo;V;PRY;N;20;D;N;Mar;Res;0
Alexis Fariña;M;PRY;N;21;D;S;Arm;Agi;0
Félix Triñanes;M;ARG;N;22;E;N;Fin;Agi;0
Henry Riquelme;M;PRY;N;19;D;N;Pas;Res;0
Ulises Coronel;M;PRY;N;28;E;S;Pas;Agi;0
Óscar Romero;M;PRY;N;27;D;S;Pas;Agi;0
Alan Gómez;P;PRY;N;23;D;S;Pas;Agi;0
Alfredo Machado;P;PRY;N;27;E;N;Pas;Res;0
Brahian Ayala;P;PRY;N;31;E;N;Cru;Agi;0
Estifen Díaz;P;PRY;N;21;D;N;Pas;Vel;0
Marcelo González;P;PRY;N;30;D;N;Pas;Agi;0
Matías Moya;P;ARG;N;28;D;N;Pas;Agi;0
Pedro Delvalle;P;PRY;N;32;A;S;Cru;Agi;0
Tobias Portillo;P;PRY;N;21;D;N;Pas;Ace;0
Ángel Aguilera;P;PRY;N;23;D;N;Pas;Agi;0
Fernando Cáceres;A;PRY;N;30;D;S;Fin;Fri;0
Jorge Sanguina;A;PRY;N;27;D;N;Fin;For;0
Tobías Cervera;A;SYR;N;24;D;N;Cab;Res;0
