San Martín San Juan;ARG;59;Ingeniero Hilario Sánchez;Alejandro Schiapparelli;ARG;33913C;1A0202;21500
Maximiliano Velazco;G;ARG;N;31;D;N;Ref;Fle;0
Sebastián Díaz Robles;G;ARG;N;22;D;S;Sgo;For;0
Facundo Nadalín;L;ARG;N;28;D;N;Cru;Agi;0
Federico Murillo;L;ARG;N;29;D;S;Pas;For;0
Gonzalo Lucero;L;ARG;N;22;E;N;Mar;Vel;0
Hernán Zuliani;L;ARG;N;23;E;S;Des;Ace;0
Emanuel Aguilera;Z;ARG;N;37;D;S;Cab;Res;0
Julián Marchio;Z;ARG;N;25;E;N;Des;Imp;0
Manuel Cocca;Z;ARG;N;23;E;S;Cab;Con;0
Mauro Osores;Z;ARG;N;29;D;S;Ant;Res;0
Nicolás Paz;Z;ARG;N;23;D;N;Pos;Res;0
Diego Mercado;V;ARG;N;29;D;N;Ant;Vis;0
Nicolás Pelaitay;V;ARG;N;33;D;S;Pas;Agi;0
Gabriel Hachen;M;ARG;N;35;E;N;Chu;Cri;0
Guillermo Acosta;M;ARG;N;38;D;S;Fin;Agi;0
Lucas Acosta;M;ARG;N;21;E;N;Pas;Res;0
Nicolás Iachetti;M;ARG;N;26;D;N;Chu;Fri;0
Ramiro Rúmbolo;M;ARG;N;22;D;N;Pas;Agi;0
Sebastián González;M;ARG;N;34;D;S;Dri;Agi;0
Sebastián Jaurena;M;ARG;N;27;D;S;Fin;Vis;0
Bruno Juncos;P;ARG;N;24;E;N;Pas;Cri;0
Carlo Lattanzio;P;ARG;N;29;E;N;Arm;Ace;0
Dante Álvarez;P;ARG;N;30;E;N;Fin;Agi;0
Leonardo Monje;P;ARG;N;24;D;N;Dri;Res;0
Luciano Ferreyra;P;ARG;N;24;D;N;Cru;Vel;0
Franco Coronel;A;ARG;N;33;D;N;Fin;For;0
Genaro Rossi;A;ARG;N;24;D;N;Cab;Imp;0
Lautaro Agüero;A;ARG;N;23;D;N;Pas;Vel;0
Luciano Riveros;A;ARG;N;22;D;N;Pas;For;0
Nazareno Fúnez;A;ARG;N;25;E;S;Pas;Res;0
