Luton Town;ENG;69;Kenilworth Road;Jack Wilshere;ENG;F78F1E;FFFFFF;11500
James Shea;G;ENG;N;35;D;N;Col;Con;0
Josh Keeley;G;IRL;N;23;D;S;Sgo;Fle;0
Harrison Ashby;L;SCT;N;24;D;N;Cru;Vel;0
Joe Johnson;L;ENG;N;20;E;N;Cru;Ace;0
Reuell Walters;L;ENG;N;21;D;N;Mar;Vel;0
George Johnston;Z;SCT;N;27;E;S;Cab;Imp;0
Kal Naismith;Z;SCT;N;34;D;S;Ant;Con;0
Mads Andersen;Z;DNK;N;28;D;N;Cab;Imp;0
Teden Mengi;Z;ENG;N;24;D;N;Ant;Vel;0
Tom Holmes;Z;ENG;N;26;D;N;Pos;Con;0
Hakeem Odoffin;V;ENG;N;28;D;S;Ant;For;0
Dan Gore;M;ENG;N;21;D;N;Pas;Res;0
Jake Richards;M;ENG;N;19;D;S;Fin;Vis;0
Jamie Donley;M;NIR;N;21;E;N;Arm;Vis;0
Jordan Clark;M;ENG;N;32;D;S;Fin;Res;0
Kasey Palmer;M;JAM;N;29;D;S;Fin;Cri;0
Liam Walsh;M;ENG;N;28;D;S;Pas;Vis;0
Shandon Baptiste;M;GRD;N;28;D;N;Dri;Vis;0
Sverre Sandal;M;NOR;N;23;D;N;Pas;Agi;0
Emilio Lawrence;P;SCT;N;20;D;S;Arm;Agi;0
Isaiah Jones;P;GUY;N;27;D;S;Dri;Vel;0
Shayden Morris;P;ENG;N;24;D;N;Cru;Vel;0
Callum Marshall;A;NIR;N;21;E;N;Fin;Fri;0
Devante Cole;A;JAM;N;31;D;N;Fin;Vel;0
Gideon Kodua;A;ENG;N;21;D;N;Chu;Vel;0
Lasse Nordås;A;NOR;N;24;E;N;Cab;For;0
Nahki Wells;A;BMU;N;36;D;S;Fin;Res;0
