Carrarese;ITA;71;Comunale dei Marmi;Gabriele Cioffi;ITA;135DBF;DED250;5500
Giovanni Garofani;G;ITA;N;23;D;S;Ref;Fle;0
Nicola Ravaglia;G;ITA;N;37;D;N;Ref;Con;0
Semuel Pizzignacco;G;ITA;N;24;D;N;Rbo;Fri;0
Stefano Mazzini;G;ITA;N;27;D;N;Rbo;Con;0
Gonçalo Esteves;L;PRT;N;22;D;N;Cru;Ace;0
Jonas Rouhi;L;SWE;N;22;E;S;Cru;Vel;0
David Vujevic;Z;HRV;N;19;D;N;Mar;Imp;0
Fabio Andrea Ruggeri;Z;ITA;N;21;D;S;Ant;Imp;0
Filippo Oliana;Z;ITA;N;27;D;S;Des;Con;0
Filippo Reale;Z;ITA;N;20;E;S;Pos;Vel;0
Lorenzo Romani;Z;ITA;N;21;E;S;Pos;Vel;0
Tommaso Macchioni;Z;ITA;N;20;D;N;Des;Con;0
Nicolás Schiavi;V;ARG;N;31;D;N;Pas;Vis;0
Pietro Pinelli;V;ITA;N;20;E;N;Mar;Agi;0
Gabriele Parlanti;M;ITA;N;22;D;S;Dri;Res;0
Jacopo Martini;M;ITA;N;21;D;N;Fin;Agi;0
Luka Topalović;M;SVN;N;20;D;N;Arm;Vis;0
Matthias Braunöder;M;AUT;N;24;D;N;Pas;Res;0
Tommaso Guercio;M;POL;N;21;D;N;Pas;Fri;0
Tommaso Rubino;M;ITA;N;19;D;N;Dri;Cri;0
Yanis Khafi;M;MAR;N;20;D;S;Pas;Agi;0
Niccolò Belloni;P;ITA;N;32;E;S;Cru;Cri;0
Fabio Abiuso;A;ITA;N;23;D;S;Fin;For;0
Giacomo Marconi;A;ITA;N;21;D;N;Fin;Imp;0
Mattia Finotto;A;ITA;N;33;D;N;Chu;Res;0
Moustapha Cissé;A;GIN;N;22;D;S;Dri;Vel;0
Nicholas Bonfanti;A;ITA;N;24;D;N;Dri;For;0
