Ceará;BRA;69;Castelão;Daniel Paulista;BRA;050505;FAFAFA;63500
Jorge Meurer;G;BRA;N;25;D;N;Col;Fle;0
Matheus Nogueira;G;BRA;N;28;D;N;Ref;Fle;0
Richard Costa;G;BRA;N;35;D;S;Ref;Fri;0
Bryan Borges;L;BRA;N;30;D;N;Cru;Vel;0
Rafael Ramos;L;PRT;N;31;D;S;Cru;Agi;0
Sánchez;L;BRA;N;30;E;N;Cru;Res;0
Sávio;L;BRA;N;31;E;N;Cru;For;0
Júlio César;Z;BRA;N;22;D;S;Des;Vel;0
Luiz Otávio;Z;BRA;N;33;D;S;Cab;Imp;0
Luiz Otávio;Z;BRA;N;37;D;N;Ant;Con;0
Pedro Gilmar;Z;BRA;N;20;D;N;Cab;Imp;0
Stanley Boateng;Z;GHA;N;21;D;N;Mar;Con;0
Thalisson;Z;BRA;N;24;D;N;Cab;Imp;0
Éder;Z;BRA;N;31;D;S;Des;Con;0
João Gabriel;V;BRA;N;20;D;S;Ant;Con;0
Richardson;V;BRA;N;34;D;N;Des;For;0
Zanocelo;V;BRA;N;25;D;S;Pas;Vis;0
Giovanni Pavani;M;BRA;N;29;D;N;Pas;Vis;0
Lucas Mugni;M;ARG;N;34;E;N;Arm;Vis;0
Matheus Araújo;M;BRA;N;24;D;S;Fin;Agi;0
Melk;M;BRA;N;20;E;S;Dri;Cri;0
Vina;M;BRA;N;35;D;N;Fin;Fri;0
Gustavo Prado;P;BRA;N;21;D;N;Dri;Cri;0
Lenny Lobato;P;BRA;N;25;E;N;Dri;Agi;0
Nicolás Ferreira;P;URY;N;24;D;N;Dri;Agi;0
Kauã;A;BRA;N;20;D;N;Fin;Vel;0
Lucca;A;BRA;N;23;D;S;Pas;Vel;0
Renzo López;A;URY;N;32;D;N;Cab;Imp;0
Wendel;A;BRA;N;26;D;S;Fin;For;0
