Talleres;ARG;78;Mario Alberto Kempes;Diogo Meschine;BRA;FFFFFF;092178;57000
Ezequiel Unsain;G;ARG;N;31;D;S;Rbo;Con;0
Santino Barbi;G;ARG;N;21;D;N;Rbo;Con;0
Alexandro Maidana;L;PRY;N;21;E;S;Cru;Ace;0
Augusto Schott;L;ARG;N;26;D;S;Pas;For;0
Gabriel Báez;L;ARG;N;31;E;S;Pos;Ace;0
Timoteo Chamorro;L;ARG;N;20;D;N;Mar;For;0
Tomás Olmos;L;ARG;N;21;D;N;Pas;Res;0
Matías Catalán;Z;CHL;N;34;D;S;Cab;Con;0
Román Riquelme;Z;ARG;N;24;D;N;Pos;For;0
Santiago Fernández;Z;ARG;N;21;D;S;Pos;Con;0
Valentín Fascendini;Z;ARG;N;23;E;N;Cab;Imp;0
Federico Fattori;V;ARG;N;34;D;N;Chu;Vis;0
Juan Sforza;V;ARG;N;24;E;S;Pas;Vis;0
Matías Galarza;V;ARG;N;24;D;S;Ant;Con;0
Franco Cristaldo;M;ARG;N;30;D;S;Pas;Cri;0
Giovanni Baroni;M;ARG;N;17;E;N;Fin;Vis;0
Jeremías Gallard;M;ARG;N;22;A;N;Dri;Agi;0
Mateo Cáceres;M;ARG;N;23;D;N;Pas;Cri;0
Matías Gómez;M;ARG;N;20;D;N;Fin;Vis;0
Diego Valoyes;P;COL;N;29;D;N;Fin;Agi;0
Emiliano Chiavassa;P;ARG;N;20;D;N;Dri;Ace;0
Ignacio Alastra;P;ARG;N;18;D;N;Cru;Cri;0
Rick;P;BRA;N;26;D;S;Cru;Ace;0
Valentín Depietri;P;ARG;N;25;D;S;Arm;Vel;0
Agustín Álvarez;A;URY;N;25;D;N;Fin;Vel;0
Bruno Barticciotto;A;CHL;N;25;D;N;Cab;Fri;0
Valentín Dávila;A;ARG;N;19;D;N;Fin;Imp;0
