Elazigspor;TUR;57;Elazığ Stadyumu;Serdar Bozkurt;TUR;6B1226;FFFFFF;23000
Atakan Ordu;G;TUR;N;21;D;N;Col;Imp;0
Furkan Köse;G;TUR;N;33;D;S;Sgo;Con;0
Habib Zeybek;G;TUR;N;20;D;N;Ref;For;0
Yusuf Ayaz;G;TUR;N;20;D;N;Rbo;Fle;0
Erhan Kartal;L;TUR;N;33;D;S;Des;Vel;0
Mustafa Akyıldız;L;TUR;N;20;D;N;Cru;Ace;0
Onur Eriş;L;TUR;N;33;E;S;Pas;Agi;0
Ali Yeşilyurt;Z;TUR;N;21;D;N;Mar;Con;0
Feyyaz Belen;Z;TUR;N;35;E;S;Ant;Res;0
Veli Çetin;Z;TUR;N;31;D;S;Pos;For;0
Çağlayan Menderes;Z;TUR;N;27;D;N;Cab;Imp;0
Emir Alagöz;V;TUR;N;34;E;S;Ant;Res;0
Ali Altınöz;M;TUR;N;21;D;N;Dri;Vis;0
Alperen Pak;M;TUR;N;30;D;S;Pas;Res;0
Berat Sağlam;M;TUR;N;19;D;N;Pas;Agi;0
Bünyamin Güler;M;TUR;N;20;E;N;Fin;Agi;0
Efe Tatlı;M;TUR;N;24;E;N;Arm;Res;0
Esat Buğa;M;TUR;N;20;D;N;Pas;Vis;0
Hakan Yavuz;M;TUR;N;28;D;N;Arm;Res;0
Muhammed Demirci;M;TUR;N;31;E;S;Dri;Res;0
Yiğit Karakaş;M;TUR;N;19;D;N;Dri;Vis;0
Barış Ekincier;P;AZE;N;27;A;N;Cru;Vel;0
Enes Soy;P;TUR;N;30;E;S;Fin;Ace;0
Mert Örnek;P;TUR;N;29;D;N;Dri;Res;0
Sertaç Çam;P;TUR;N;33;E;S;Pas;Cri;0
Kemal Rüzgar;A;TUR;N;31;E;S;Chu;For;0
Serhat Genç;A;TUR;N;19;D;N;Cab;Imp;0
Özkan Bal;A;TUR;N;18;D;N;Fin;Vel;0
